s_store_name,s_store_id,Sunday_sales,Monday_sales,Tuesday_sales,Wednesday_sales,Thursday_sales,Friday_sales,Saturday_sales
able,AAAAAAAAACAAAAAA,141067890.13,132120464.44,132034209.40,131920396.62,134769659.20,138419592.31,141640337.11
able,AAAAAAAACAAAAAAA,140028789.16,132238359.68,133321828.37,135698977.80,137918942.31,139431055.10,140486494.07
able,AAAAAAAAGBAAAAAA,141104228.33,131495958.08,131998008.08,132937275.53,137878619.91,135471130.77,138683796.63
anti,AAAAAAAAJBAAAAAA,145652512.46,136182452.16,131252735.27,138919182.75,136538239.32,138125918.51,143760654.37
ation,AAAAAAAAHAAAAAAA,146007660.02,132502860.35,131021216.15,136287507.61,138678533.50,136001691.12,142762116.34
bar,AAAAAAAAEBAAAAAA,145319270.25,132505864.89,130961527.13,137358063.13,138059868.80,136219883.04,141488863.73
bar,AAAAAAAAKAAAAAAA,143621146.68,131938229.21,130926687.33,138547780.46,138618977.83,135472428.18,137354651.56
cally,AAAAAAAAABAAAAAA,143859596.90,132670803.21,133475849.34,134233521.76,134514892.17,135975987.73,141569296.10
cally,AAAAAAAAKBAAAAAA,141407730.16,130639977.23,134028452.91,133984219.14,136750859.37,135867542.33,141301736.50
eing,AAAAAAAAIAAAAAAA,146242667.74,131915561.46,131956096.67,135203960.50,137165570.08,134831738.04,142807365.19
eing,AAAAAAAAMBAAAAAA,139801355.36,133567634.80,132780636.26,135346197.40,135456568.29,139596802.36,144064194.35
ese,AAAAAAAAEAAAAAAA,143552702.92,130542951.15,133489048.43,134974688.64,136917636.45,139971426.32,140948911.70
ese,AAAAAAAAOAAAAAAA,144609218.87,132300341.32,135324830.97,135826804.50,135089033.31,134689527.33,142435306.68
n st,AAAAAAAADBAAAAAA,141686510.05,132615356.38,135303029.47,134898376.41,136025650.34,134621287.14,141162464.57
ought,AAAAAAAABAAAAAAA,141767235.91,131170686.40,133392748.27,135455434.68,137441084.23,134228822.08,137201883.83
ought,AAAAAAAAPBAAAAAA,146453788.89,136386699.05,134482186.42,133696958.81,138808370.77,133904712.48,139932762.29
pri,AAAAAAAANAAAAAAA,142923370.94,136922992.78,131234376.44,137202161.10,141537706.40,139198628.96,141751429.85
