s_store_name,s_company_id,s_street_number,s_street_name,s_street_type,s_suite_number,s_city,s_county,s_state,s_zip
ought,1,767,Spring ,Wy,Suite 250,Midway,Williamson County,TN,31904
able,1,255,Sycamore ,Dr.,Suite 410,Midway,Williamson County,TN,31904
ese,1,27,Lake ,Ln,Suite 260,Midway,Williamson County,TN,31904
ation,1,811,Lee ,Circle,Suite T,Midway,Williamson County,TN,31904
eing,1,226,12th ,Lane,Suite D,Fairview,Williamson County,TN,35709
bar,1,175,4th ,Court,Suite C,Midway,Williamson County,TN,31904
pri,1,84,First ,Cir.,Suite 180,Midway,Williamson County,TN,31904
ese,1,408,Washington 1st,Circle,Suite 390,Midway,Williamson County,TN,31904
cally,1,588,View Mill,Court,Suite 160,Midway,Williamson County,TN,31904
n st,1,240,Willow ,RD,Suite 280,Fairview,Williamson County,TN,35709
bar,1,200,Lake ,RD,Suite 320,Midway,Williamson County,TN,31904
able,1,479,Park First,Lane,Suite 20,Midway,Williamson County,TN,31904
anti,1,735,Walnut ,Blvd,Suite 360,Fairview,Williamson County,TN,35709
cally,,688,North Green,,Suite 50,Fairview,,,35709
eing,1,317,Poplar 9th,Pkwy,Suite P,Midway,Williamson County,TN,31904
ought,1,75,2nd Oak,Pkwy,Suite C,Fairview,Williamson County,TN,35709
able,1,228,Cherry ,Avenue,Suite G,Fairview,Williamson County,TN,35709
