d_year,i_brand,i_class,i_category,i_manufact,sales_cnt,sales_cnt,sales_cnt_diff,sales_amt_diff
1999,importobrand #6,bedding,Home,eingpriought,17051,22678,-5627,-341192.35
1999,amalgnameless #4,accent,Home,ablen stanti,16810,22310,-5500,-386833.30
1999,edu packnameless #5,glassware,Home,eingbaranti,16016,20744,-4728,-171455.77
1999,univnameless #7,flatware,Home,oughteingought,17630,22073,-4443,-328418.48
1999,importonameless #7,paint,Home,ableeseese,17195,21630,-4435,-359041.43
1999,amalgnameless #4,accent,Home,n stn stese,18282,22666,-4384,-300472.66
1999,edu packbrand #8,curtains/drapes,Home,n stpri,16540,20754,-4214,-390863.61
1999,edu packnameless #3,glassware,Home,ablen stought,17393,21585,-4192,-171815.88
1999,brandbrand #1,decor,Home,eseationanti,15904,19976,-4072,-229753.30
1999,importonameless #5,paint,Home,callyationought,17131,21153,-4022,-167189.87
1999,amalgnameless #1,accent,Home,baroughtought,18622,22639,-4017,-192217.42
1999,importonameless #2,paint,Home,oughtableought,17168,21071,-3903,-167537.40
1999,amalgbrand #9,bathroom,Home,priation,17227,21095,-3868,-110173.25
1999,importonameless #2,paint,Home,eingn stought,18373,22205,-3832,-176039.24
1999,importonameless #4,paint,Home,antibarable,16389,20174,-3785,-156703.04
1999,scholarnameless #4,tables,Home,pricallyese,17483,21234,-3751,-307610.05
1999,edu packbrand #3,curtains/drapes,Home,callyeingought,18528,22253,-3725,-162181.95
1999,corpnameless #6,furniture,Home,oughtantieing,17250,20926,-3676,-152485.64
1999,edu packnameless #3,glassware,Home,ationpripri,17277,20928,-3651,-58952.96
1999,edu packbrand #6,curtains/drapes,Home,ableantianti,17077,20658,-3581,-96839.12
1999,univnameless #3,flatware,Home,eingeingable,17466,21030,-3564,-25169.84
1999,corpnameless #9,furniture,Home,callyablepri,17555,21101,-3546,-193793.04
1999,namelessbrand #4,lighting,Home,ationation,16840,20368,-3528,-178756.74
1999,exportinameless #7,wallpaper,Home,antiantically,17459,20911,-3452,-198878.70
1999,edu packnameless #8,glassware,Home,eseeseese,18037,21453,-3416,-144523.75
1999,scholarbrand #3,blinds/shades,Home,eingpriese,17852,21249,-3397,-261049.60
1999,namelessbrand #1,lighting,Home,ableationable,17648,21013,-3365,-116173.34
1999,importonameless #1,paint,Home,barpriought,18107,21445,-3338,-204047.82
1999,maxibrand #10,mattresses,Home,callyn stese,17758,21083,-3325,-61027.13
1999,exportibrand #5,kids,Home,ableprin st,16613,19914,-3301,-166579.22
1999,corpnameless #7,furniture,Home,baroughtanti,17360,20638,-3278,-101419.96
1999,edu packnameless #10,glassware,Home,antiableought,17611,20877,-3266,-232418.45
1999,exportibrand #1,kids,Home,anticallyable,18321,21578,-3257,-71228.85
1999,maxibrand #5,mattresses,Home,prioughtable,18822,22073,-3251,-261028.16
1999,scholarnameless #3,tables,Home,ablepriought,17484,20720,-3236,-270332.49
1999,maxibrand #5,mattresses,Home,barablepri,17435,20667,-3232,-146143.21
1999,edu packnameless #6,glassware,Home,oughtantiought,18678,21875,-3197,-215946.78
1999,edu packbrand #3,curtains/drapes,Home,eseoughtable,18413,21549,-3136,-179478.09
1999,amalgbrand #9,bathroom,Home,barcallyable,18003,21111,-3108,-262480.73
1999,maxibrand #9,mattresses,Home,prieseable,17527,20615,-3088,-188498.25
1999,univnameless #9,flatware,Home,eingbarought,18163,21245,-3082,-140469.59
1999,edu packbrand #10,curtains/drapes,Home,antioughtought,16772,19848,-3076,-84133.87
1999,amalgbrand #10,bathroom,Home,n st,17573,20609,-3036,-223987.92
1999,edu packnameless #5,glassware,Home,bareinganti,18587,21595,-3008,-159996.95
1999,exportibrand #9,kids,Home,n steingable,17522,20527,-3005,-25880.83
1999,importobrand #1,bedding,Home,pripriable,19098,22068,-2970,-164317.37
1999,corpnameless #5,furniture,Home,prianti,17872,20815,-2943,-189132.92
1999,scholarbrand #3,blinds/shades,Home,einganti,18490,21433,-2943,-185362.23
1999,importonameless #7,paint,Home,n stbarable,17180,20121,-2941,-120026.28
1999,corpnameless #7,furniture,Home,eingcallyanti,17696,20603,-2907,-120756.11
1999,scholarnameless #7,tables,Home,able,18638,21531,-2893,-113709.98
1999,exportinameless #3,wallpaper,Home,barationable,17357,20235,-2878,-133897.99
1999,amalgbrand #7,bathroom,Home,ationeingese,17655,20519,-2864,-59585.49
1999,edu packnameless #4,glassware,Home,oughtn stable,18483,21324,-2841,-361172.80
1999,exportibrand #3,kids,Home,barpripri,17803,20639,-2836,-193697.25
1999,exportinameless #10,wallpaper,Home,priantiought,16331,19158,-2827,-196756.72
1999,edu packnameless #4,glassware,Home,esebarese,17589,20364,-2775,-151462.24
1999,amalgbrand #10,bathroom,Home,n stoughtought,18208,20965,-2757,5059.91
