reason_description,marital_status,education_status,state,sales_profit_range,average_sales_quantity,average_refunded_cash,average_return_fee
Did not fit,U,Advanced Degree,MD,50-250,1.0,66.55,61.8
Did not fit,D,Primary,AZ,100-200,1.0,87.2,7.39
Did not fit,M,4 yr Degree,NM,50-250,1.0,93.09,82.86
Did not fit,D,2 yr Degree,FL,50-250,1.0,177.5,84.89
Did not fit,D,2 yr Degree,RI,50-250,1.0,211.0,85.5
Did not fit,D,Primary,CT,50-250,1.0,406.45,89.48
Did not fit,W,4 yr Degree,NJ,50-250,1.0,426.7,80.09
Did not fit,S,College,WY,50-250,1.0,1516.03,39.53
Did not fit,S,College,CO,50-250,1.5,1570.69,59.655
Did not fit,W,Secondary,UT,150-300,2.0,0.38,57.36
Did not fit,D,4 yr Degree,NM,50-250,2.0,33.62,13.98
Did not fit,D,4 yr Degree,CA,50-250,2.0,74.76,66.63
Did not fit,M,2 yr Degree,MA,100-200,2.0,335.14,77.55
Did not fit,M,4 yr Degree,WA,50-250,2.0,362.54,45.7
Did not fit,U,Unknown,AZ,100-200,2.0,848.24,38.4
Did not fit,M,Secondary,DC,50-250,2.0,863.2,25.38
Did not fit,M,4 yr Degree,OR,50-250,2.0,889.64,52.0
Did not fit,M,College,WY,100-200,2.0,996.77,96.16
Did not fit,W,2 yr Degree,VT,50-250,2.0,1339.95,70.45
Did not fit,S,4 yr Degree,ID,50-250,2.0,4110.515,48.91
Did not fit,W,2 yr Degree,MA,50-250,2.0,5308.31,48.76
Did not fit,W,Unknown,MD,50-250,2.5,4.7,17.2
Did not fit,D,Advanced Degree,NM,50-250,3.0,9.37,30.88
Did not fit,U,College,VT,50-250,3.0,26.2,28.35
Did not fit,U,College,UT,50-250,3.0,38.69,44.195
Did not fit,D,Secondary,AK,50-250,3.0,44.56,87.84
Did not fit,M,Advanced Degree,MD,100-200,3.0,46.79,90.67
Did not fit,S,2 yr Degree,NV,50-250,3.0,121.51,59.29
Did not fit,U,Advanced Degree,CT,50-250,3.0,129.0,82.38
Did not fit,M,College,ND,50-250,3.0,620.075,54.715
Did not fit,U,Secondary,CT,150-300,3.0,655.93,68.38
Did not fit,U,Secondary,MT,50-250,3.0,761.47,9.19
Did not fit,U,4 yr Degree,OK,50-250,3.0,1121.42,12.523333333333333
Did not fit,S,Primary,AK,100-200,3.0,1360.94,13.1
Did not fit,M,2 yr Degree,LA,50-250,3.0,1825.56,99.92
Did not fit,D,Unknown,NM,50-250,3.0,1949.72,98.85
Did not fit,W,4 yr Degree,NV,100-200,3.0,2155.67,12.62
Did not fit,S,College,DC,50-250,3.0,2169.96,30.65
Did not fit,U,Unknown,FL,50-250,3.0,2868.86,46.05
Did not fit,D,4 yr Degree,ID,150-300,4.0,11.23,4.21
Did not fit,U,2 yr Degree,ME,50-250,4.0,27.23,10.77
Did not fit,D,Secondary,NM,50-250,4.0,52.82,59.15
Did not fit,W,2 yr Degree,WV,150-300,4.0,95.25,32.61
