inv_warehouse_sk,inv_item_sk,month,mean_val,coeff_var
1,1510,1,245.5,1.5315628114477167
1,4054,1,238.5,1.6970258184723161
1,5983,1,267.75,1.5832888991584122
1,14641,1,249.6,1.6298916986960021
1,18062,1,261.0,1.5988699015407155
1,18430,1,259.25,1.5041824213976192
1,19246,1,236.8,1.5269811295347624
1,19585,1,325.3333333333333,1.5325769531656028
1,19940,1,294.6666666666667,1.6820955061664722
1,21904,1,280.5,1.6825596376307244
1,23378,1,203.4,1.5854660670729122
2,583,1,169.4,1.5514302858794466
2,724,1,172.75,1.5691458635162134
2,3682,1,262.6,1.5622979060056763
2,4484,1,160.75,1.6271619026988953
2,9452,1,253.75,1.6037597280119233
2,9958,1,239.0,1.594087349014219
2,12625,1,226.6,1.513782132818772
2,12661,1,145.66666666666666,1.5030458318071398
2,19588,1,362.6666666666667,1.5106704436210114
2,22174,1,252.8,1.6068342780485612
2,22780,1,242.0,1.5431187324518558
3,500,1,314.0,1.5236482254661423
3,895,1,258.2,1.5552056775499454
3,3625,1,221.25,1.7867285604676468
3,4798,1,128.25,1.9532475008511485
3,5035,1,269.25,1.6578359226392914
3,5407,1,263.25,1.787454757224208
3,6424,1,112.75,1.5196155823219901
3,7894,1,282.5,1.5542322455069602
3,17797,1,169.6,1.6544017013168362
3,21298,1,277.75,1.5221658433301648
4,787,1,250.25,1.798960508900234
4,4570,1,195.4,1.607426964101962
4,5110,1,179.5,1.6567892951544623
4,5344,1,256.8,1.5205261903935086
4,7246,1,212.6,1.64791143867404
4,9080,1,55.666666666666664,1.607692433724292
4,10222,1,172.0,1.5551066746126823
4,10927,1,343.3333333333333,1.5942294492942004
4,12640,1,243.4,1.6444239733701116
4,16153,1,109.2,1.5219438600081177
4,17018,1,208.2,1.5315382944801208
4,17812,1,267.25,1.5681712417939118
4,18592,1,204.2,1.5740289310360782
4,19556,1,225.0,1.5329725823613432
4,19627,1,119.0,1.5164439303247266
4,21908,1,272.25,1.5397507780435937
4,22579,1,150.8,1.5265707128286041
4,22690,1,184.8,1.794463186800775
5,3181,1,264.6,1.537004094512257
5,3710,1,231.6,1.6197770886310696
5,5860,1,212.75,1.5488374813510122
5,6866,1,141.0,1.707541626289913
5,7891,1,216.4,1.6401505747039078
5,9271,1,248.8,1.5135782906553996
5,10132,1,257.8,1.5640967076118173
5,10190,1,210.25,1.72049090132657
5,15037,1,149.75,1.6723525114152946
5,15493,1,181.0,1.5698970613930299
5,17887,1,165.0,1.581893647334871
5,18464,1,290.25,1.5862889561327769
5,20776,1,305.3333333333333,1.5931725834468853
5,21898,1,257.75,1.5644829463144971
