i_manufact_id,total_quarterly_sales,total_annual_sales
27,55223.50,140419.69
27,54548.95,134061.15
207,53183.61,140535.59
38,52909.48,133823.76
38,52190.53,139159.16
207,51527.32,138879.14
251,51415.98,137850.27
251,51336.13,135287.45
58,48930.22,131712.33
58,48210.96,133899.40
250,44723.74,116533.27
288,44247.48,110973.55
231,44016.29,109139.43
121,43635.30,110463.20
177,43559.63,113599.81
22,43494.02,109263.88
149,43040.88,112889.96
186,42965.45,111999.31
158,42959.86,109710.68
117,42757.37,111872.82
22,42625.62,109004.39
128,42504.92,108134.55
310,42471.97,106191.04
297,42071.45,103512.13
581,42026.30,108290.20
257,41831.00,110042.99
14,41604.67,110783.49
143,41304.57,113721.25
238,41260.08,109553.96
238,41162.89,108322.36
186,41151.26,102976.30
142,41073.90,108007.14
149,41007.33,109264.29
310,40974.99,109702.81
117,40916.26,104038.13
177,40738.63,109034.73
250,40720.38,106018.27
277,40465.77,107298.11
297,40348.96,107386.98
581,40243.54,105137.36
70,40223.12,104885.02
320,40205.65,107282.70
70,40134.40,109445.34
288,40010.84,110269.89
128,40006.66,105331.80
126,39839.29,109876.70
277,39815.45,105697.58
142,39664.15,110663.01
158,39309.53,108411.81
121,39288.51,104025.57
231,38699.30,105923.34
143,38597.20,102254.07
257,38493.46,103683.81
14,38136.59,104795.67
181,38076.78,105404.23
181,37858.33,104447.82
126,37776.26,110180.76
284,34911.61,83989.99
36,34736.71,82980.48
200,34635.32,83284.87
373,34592.34,86822.51
791,34568.87,84155.45
329,34146.77,85256.00
517,34098.55,83729.20
123,33977.24,82771.48
303,33791.61,84229.40
296,33272.64,80295.59
72,33270.61,82543.03
294,33246.54,83038.59
436,33188.44,82639.35
134,33185.63,81364.77
553,33129.67,80470.98
336,33007.03,83119.40
155,32986.16,82216.25
438,32738.62,80280.79
274,32727.97,83733.86
97,32707.33,82520.71
300,32679.58,85741.89
433,32652.75,84517.82
149,32624.08,79985.48
319,32588.13,82684.50
155,32577.90,81189.39
284,32513.70,82723.25
9,32501.91,84281.27
373,32391.85,84891.49
246,32281.71,82137.73
319,32255.70,80779.08
659,32228.14,81622.93
157,32220.28,82172.72
116,32209.01,80900.02
101,32189.77,80077.03
59,32167.31,84042.27
169,32153.88,83205.50
435,32125.98,84921.43
402,32118.54,84346.90
198,32104.31,80468.67
294,32052.60,83400.88
193,32024.83,78427.26
223,31949.43,79400.25
225,31864.34,84166.53
