i_item_desc,w_warehouse_name,d_week_seq,num_sales_without_promotion,num_sales_with_promotion
Meanwhile far references try beliefs.,Conventional childr,5371,0,32
"Already hard conclusions dust a little projects. Specified professionals shall not need right significant, white pp.. Given, blue patients harm already teac","Social, royal laws m",5371,0,29
Animals evade else sexual offic,Conventional childr,5344,0,29
"Certain, major standards may work aware, long opportunities; negative questions register on a questions. Far important employees should define against a individuals. Main, christian effects u",Conventional childr,5371,0,29
"Apparent, historical details take overall industrial soldiers. Environmental operations ought to make often lively, sure firms; complete tr","Social, royal laws m",5370,0,27
"Following friends cope really proposals. Historical, constant methods will improve distinctly recent films. Competitive, new offers tell. Damp friends will go deep, br",Of course ot,5366,0,27
Financial days used to become quite international children. Rec,,5364,0,25
Multiple arguments use more again ltd. facilities. Sho,,5336,0,25
"Free parties used to compare so realistic terms. Legal, old ministers try as during a authorities. Little great men see. Agricultural, ",,5328,0,24
"However great trades must arise only in a eyes. Slowly curious fears drive social foundations. Vast, practical hands woul",Conventional childr,5372,0,24
"Minds beat arrangements. More strong contributions administer extreme, particular accountants. Well other voices might not write also in a ",Terms overcome instr,5368,0,24
"Famous, distinctive demands should continue more reservations. Thirdly happy years concentrate comparatively mixed sig","Social, royal laws m",5361,0,23
"At first quick issues shore single architects. Even final activities inherit certainly white, irish days; exciting, primary institutions get. Lively actions can trust much in the trends. Comfortab","Social, royal laws m",5323,0,22
Main studies avoid as still frequent rules. Nations define also small cultures. Often l,,5374,0,22
"Regularly different unions might look details. Conditions think parties. Underlying products pay ways; papers ought to dispose then to a years. High, royal lips sha","Social, royal laws m",5365,0,22
Satisfied supporters must get. National hands could not s,"Social, royal laws m",5366,0,22
Farmers might not feel. Other terms examine. Individuals could keep in ,Terms overcome instr,5355,0,20
"Local officers would expect too old, front entries. Labour players must start after a values. Dark problems laugh; accountants make. High new ",,5371,0,20
"Permanent, only parts shorten psychiatric systems. Then serious standards shou",,5365,0,20
Requirements shall stay also exceptions. Travellers come restrictions. Costs tell. Wooden modes could not cause regularly perhaps thorough years. More proper changes would not leave so; so tropical f,Of course ot,5371,0,20
"Trying, main ideas mig","Social, royal laws m",5345,0,20
"Great, distinct parts will know so very acceptable ideas. Explicit decisions may play most much acceptabl",Conventional childr,5334,0,19
T,Of course ot,5375,0,19
"Women will not benefit previous, roman ins","Social, royal laws m",5346,0,19
Ancient neighbo,Of course ot,5375,0,18
Levels cannot exp,,5347,0,18
"Difficult, insufficient compani","Social, royal laws m",5362,0,17
"Magazines relate regularly historic, responsible decisions; poor qualities see both for a fragments. Events develop diseases. Good costs will conform gravely practical structures. Elig",Terms overcome instr,5368,0,17
"Materials need then literary acres; new, variable clubs buy underway never possible parents. Big posts would not think new performances. Christian, silent fears dismantle homes. Scientific, single w",,5344,0,17
A bit red farms handle exclusively significant years. Slow vast pupils sho,,5359,0,16
