i_item_sk,i_item_desc,s_store_sk,s_store_name,total_net_profit_from_store,total_net_loss_from_store,total_net_profit_from_catalog
1,"Powers will not get influences. Electoral ports should show low, annual chains. Now young visitors may pose now however final pages. Bitterly right children suit increasing, leading el",4,ese,-8810.21,69.87,-68027.22
1,"Powers will not get influences. Electoral ports should show low, annual chains. Now young visitors may pose now however final pages. Bitterly right children suit increasing, leading el",7,ation,-660.18,127.10,-68027.22
1,"Powers will not get influences. Electoral ports should show low, annual chains. Now young visitors may pose now however final pages. Bitterly right children suit increasing, leading el",22,able,-1546.54,191.47,-68027.22
1,"Powers will not get influences. Electoral ports should show low, annual chains. Now young visitors may pose now however final pages. Bitterly right children suit increasing, leading el",26,cally,-1215.12,608.78,-68027.22
1,"Powers will not get influences. Electoral ports should show low, annual chains. Now young visitors may pose now however final pages. Bitterly right children suit increasing, leading el",32,able,-2185.96,7088.34,-68027.22
2,"Costs could prove. Industrial, new ",2,able,-2850.15,808.17,8644.85
2,"Costs could prove. Industrial, new ",14,ese,-1189.05,91.73,8644.85
2,"Costs could prove. Industrial, new ",16,cally,-401.50,90.42,8644.85
2,"Costs could prove. Industrial, new ",22,able,-1395.09,101.61,8644.85
7,New,10,bar,-1607.34,1139.28,-101121.13
7,New,14,ese,-779.26,429.47,-101121.13
7,New,31,ought,378.53,279.54,-101121.13
8,"Other, soviet subjects seem properly times. Only sources will not escape; keys will not know only children. Recent, f",8,eing,-4738.88,144.44,-22588.91
8,"Other, soviet subjects seem properly times. Only sources will not escape; keys will not know only children. Recent, f",13,pri,52.64,4885.87,-22588.91
8,"Other, soviet subjects seem properly times. Only sources will not escape; keys will not know only children. Recent, f",16,cally,635.85,364.80,-22588.91
8,"Other, soviet subjects seem properly times. Only sources will not escape; keys will not know only children. Recent, f",26,cally,1041.25,770.96,-22588.91
11,"Bright rules stop. Big members alter active, true words. Methods prov",25,anti,-1024.96,723.06,-40906.42
13,Groups join only most likely funds. Good,1,ought,-2572.31,1964.98,-17333.13
13,Groups join only most likely funds. Good,4,ese,-136.26,862.09,-17333.13
13,Groups join only most likely funds. Good,22,able,-569.27,188.56,-17333.13
13,Groups join only most likely funds. Good,32,able,-4237.94,662.50,-17333.13
14,Important grounds rip there just big vehicles. Journalists w,4,ese,-3681.69,668.53,-78202.90
17,"Unquestionably different demands may not turn worldwide false, wide police. Satisfied, littl",10,bar,389.85,780.72,-98638.94
17,"Unquestionably different demands may not turn worldwide false, wide police. Satisfied, littl",19,n st,-5898.59,826.61,-98638.94
17,"Unquestionably different demands may not turn worldwide false, wide police. Satisfied, littl",28,eing,-5384.39,259.21,-98638.94
19,Patient,13,pri,564.59,57.56,-23985.14
19,Patient,16,cally,-1998.00,34.12,-23985.14
19,Patient,25,anti,1100.19,65.91,-23985.14
20,"Extremely working exercises meet only managers. Choices might leave. Years could not tell later on a doctors. Ethnic, present surveys alienate already splendid claims. Major, violent records wil",8,eing,-3289.48,101.77,-85365.43
20,"Extremely working exercises meet only managers. Choices might leave. Years could not tell later on a doctors. Ethnic, present surveys alienate already splendid claims. Major, violent records wil",10,bar,-869.87,2575.09,-85365.43
20,"Extremely working exercises meet only managers. Choices might leave. Years could not tell later on a doctors. Ethnic, present surveys alienate already splendid claims. Major, violent records wil",26,cally,-4864.52,91.27,-85365.43
23,Industria,4,ese,-2364.74,47.78,-45379.25
23,Industria,31,ought,488.24,1209.91,-45379.25
25,"Married, european goods help as also full arts. Local seconds used to d",2,able,-3045.84,3109.47,-13546.30
