i_category,i_class,hierarchy_category,hierarchy_class,gross_profit_margin,rank
Women,swimwear,Women,swimwear,180466810.26,1
Women,maternity,Women,maternity,163882600.36,1
Women,fragrances,Women,fragrances,172417171.52,1
Women,dresses,Women,dresses,171931190.29,1
Women,,Women,NO CLASS,643613.76,1
Sports,tennis,Sports,tennis,40424726.04,1
Sports,sailing,Sports,sailing,47788168.00,1
Sports,pools,Sports,pools,46138820.54,1
Sports,outdoor,Sports,outdoor,44686480.17,1
Sports,optics,Sports,optics,49327983.85,1
Sports,hockey,Sports,hockey,40852461.16,1
Sports,guns,Sports,guns,39413869.40,1
Sports,golf,Sports,golf,43252775.13,1
Sports,football,Sports,football,30789266.61,1
Sports,fitness,Sports,fitness,44236036.83,1
Sports,fishing,Sports,fishing,39449441.33,1
Sports,camping,Sports,camping,38410064.30,1
Sports,basketball,Sports,basketball,47598440.15,1
Sports,baseball,Sports,baseball,44575378.22,1
Sports,athletic shoes,Sports,athletic shoes,48362058.24,1
Sports,archery,Sports,archery,35026089.72,1
Sports,,Sports,NO CLASS,452539.50,1
Shoes,womens,Shoes,womens,165015420.83,1
Shoes,mens,Shoes,mens,188452084.71,1
Shoes,kids,Shoes,kids,161385889.14,1
Shoes,athletic,Shoes,athletic,172858755.60,1
Shoes,,Shoes,NO CLASS,1186236.14,1
,sports-apparel,NO CATEGORY,sports-apparel,596223.73,1
,self-help,NO CATEGORY,self-help,531588.44,1
,scanners,NO CATEGORY,scanners,566453.47,1
,pants,NO CATEGORY,pants,456109.44,1
,outdoor,NO CATEGORY,outdoor,627685.11,1
,newborn,NO CATEGORY,newborn,645124.48,1
,maternity,NO CATEGORY,maternity,533875.26,1
,guns,NO CATEGORY,guns,642183.57,1
,flatware,NO CATEGORY,flatware,572012.40,1
,dresses,NO CATEGORY,dresses,589551.83,1
,camcorders,NO CATEGORY,camcorders,560425.67,1
,archery,NO CATEGORY,archery,637320.65,1
,,NO CATEGORY,NO CLASS,7782002.06,1
Music,rock,Music,rock,172524751.88,1
Music,pop,Music,pop,182119956.63,1
Music,country,Music,country,172005809.00,1
Music,classical,Music,classical,172306966.11,1
Music,,Music,NO CLASS,2162324.97,1
Men,sports-apparel,Men,sports-apparel,156616999.07,1
Men,shirts,Men,shirts,184315102.19,1
Men,pants,Men,pants,172879625.30,1
Men,accessories,Men,accessories,172113137.87,1
Men,,Men,NO CLASS,674260.75,1
Jewelry,womens watch,Jewelry,womens watch,47247373.59,1
Jewelry,semi-precious,Jewelry,semi-precious,45367945.02,1
Jewelry,rings,Jewelry,rings,38482988.08,1
Jewelry,pendants,Jewelry,pendants,53048441.75,1
Jewelry,mens watch,Jewelry,mens watch,41203376.30,1
Jewelry,loose stones,Jewelry,loose stones,31470257.01,1
Jewelry,jewelry boxes,Jewelry,jewelry boxes,42694627.50,1
Jewelry,gold,Jewelry,gold,42952787.29,1
Jewelry,estate,Jewelry,estate,35836489.31,1
Jewelry,earings,Jewelry,earings,34492387.15,1
Jewelry,diamonds,Jewelry,diamonds,37318452.53,1
Jewelry,custom,Jewelry,custom,51427907.23,1
Jewelry,costume,Jewelry,costume,44050632.52,1
Jewelry,consignment,Jewelry,consignment,44889063.42,1
Jewelry,bracelets,Jewelry,bracelets,47041782.00,1
Jewelry,birdal,Jewelry,birdal,42292843.84,1
Home,wallpaper,Home,wallpaper,49258829.48,1
Home,tables,Home,tables,49289469.29,1
Home,rugs,Home,rugs,41581792.58,1
Home,paint,Home,paint,39299732.32,1
