ss_customer_sk,item_stock_number,calculated_ratio,store_qty,store_wholesale_cost,store_sales_price,total_other_qty,total_other_wholesale_cost,total_other_sales_price
165939,17942,100.0,100,41.06,26.27,1,21.62,1.61
171779,15805,100.0,100,32.20,16.67,1,82.94,40.23
49563,21932,100.0,100,60.57,60.73,1,13.72,6.82
36466,8009,99.0,99,93.48,75.71,1,6.59,8.86
186753,12416,99.0,99,53.38,90.89,1,30.07,12.49
156107,14641,98.0,98,10.63,4.11,1,27.41,9.64
165770,7688,98.0,98,10.12,8.07,1,89.15,42.50
149033,13364,98.0,98,60.06,85.94,1,35.43,51.70
61444,21397,98.0,98,97.66,103.98,1,70.90,136.18
17224,6599,98.0,98,71.18,33.48,1,91.21,5.12
100061,16859,97.0,97,29.80,4.86,1,95.51,59.54
7407,19064,97.0,97,51.98,24.93,1,52.16,53.20
21745,19435,96.0,96,27.06,15.75,1,99.41,287.36
55761,3680,96.0,96,86.52,2.78,1,52.42,19.60
55655,4322,95.0,95,4.54,3.55,1,80.74,115.11
33056,11111,95.0,95,9.78,9.07,1,66.08,27.35
145914,13442,94.0,94,37.71,36.67,1,64.62,69.09
70128,20234,94.0,94,68.19,26.55,1,99.58,66.71
98171,21385,93.0,93,26.88,10.06,1,77.38,123.03
161564,5390,93.0,93,54.08,24.91,1,6.09,7.87
187385,21311,93.0,93,32.54,16.39,1,46.19,95.84
22259,15079,92.0,92,42.71,16.54,1,14.80,17.06
9688,21719,91.0,91,21.54,21.71,1,94.23,46.13
113168,11347,91.0,91,51.65,69.44,1,14.89,9.06
101988,17125,91.0,91,97.99,15.28,1,97.06,253.96
138238,2747,90.0,90,62.27,4.93,1,12.51,15.14
53040,22133,90.0,90,15.25,3.00,1,81.10,163.09
150717,19382,89.0,89,52.08,49.28,1,65.02,84.79
103559,3041,89.0,89,48.36,11.10,1,4.46,4.18
88150,1477,89.0,89,70.10,89.21,1,1.63,0.49
63171,22123,89.0,89,72.47,55.95,1,38.37,7.87
153068,23342,88.0,88,23.43,39.16,1,50.14,121.33
64611,14071,88.0,88,24.38,25.72,1,14.17,14.47
140746,9109,88.0,88,31.12,38.81,1,30.00,19.21
54147,19423,88.0,88,99.15,62.46,1,8.28,5.14
197631,1981,87.0,87,54.02,9.07,1,18.82,18.29
164678,13217,87.0,87,38.19,13.10,1,52.09,25.24
130053,5143,87.0,87,18.54,16.96,1,35.78,68.60
97906,5411,87.0,87,40.63,47.84,1,63.38,74.63
32028,4172,86.0,86,89.27,119.54,1,90.94,3.92
14950,19892,85.0,85,26.38,32.23,1,51.10,8.40
155303,14107,85.0,85,79.08,104.21,1,35.69,35.83
114453,10868,84.0,84,5.04,6.67,1,25.33,50.60
132741,13517,84.0,84,74.10,12.44,1,8.23,21.65
32578,6133,84.0,84,26.92,28.36,1,32.95,35.03
42336,9617,83.0,83,86.76,36.43,1,51.43,60.50
69252,4262,83.0,83,46.21,57.28,1,58.23,53.36
198491,4931,83.0,83,35.12,13.12,1,52.73,27.64
197555,11492,82.0,82,83.47,43.24,1,11.99,8.70
78215,3325,81.0,81,30.61,14.46,1,77.42,54.34
46395,12691,81.0,81,19.43,16.36,1,76.46,7.30
43298,13435,81.0,81,15.60,5.12,1,56.64,14.86
94569,3848,81.0,81,2.53,3.21,1,7.52,20.42
12140,23375,80.0,80,8.56,4.40,1,64.07,21.68
94914,13051,80.0,80,,38.23,1,68.59,90.55
3229,14486,80.0,80,83.80,4.27,1,75.90,74.98
136150,7943,79.0,79,67.85,33.54,1,74.44,40.06
87392,23659,79.0,79,60.86,38.12,1,51.22,31.65
115850,21023,78.0,78,70.72,107.41,1,22.68,15.06
176825,14537,78.0,78,44.19,35.84,1,20.87,23.57
128994,11405,77.0,77,51.81,5.22,1,89.16,74.89
61837,19537,76.0,76,23.63,19.04,1,46.41,100.28
107508,12461,76.0,76,20.11,10.19,1,21.49,5.86
4415,20768,76.0,76,36.96,13.02,1,72.96,93.85
89939,11651,75.0,75,63.09,51.06,1,45.77,35.46
119531,8381,75.0,75,68.72,39.58,1,28.89,30.98
41983,23747,74.0,74,42.95,27.70,1,71.13,10.69
139305,18284,74.0,74,52.77,40.39,1,35.87,8.17
189486,1586,74.0,74,23.69,23.97,1,1.96,0.86
43430,16321,74.0,74,30.23,28.25,1,61.21,120.97
34520,8191,74.0,74,15.32,5.63,1,80.61,82.22
51951,9788,73.0,73,98.63,169.66,1,48.61,82.06
192265,16055,73.0,73,65.37,56.42,1,27.39,26.39
57102,2360,73.0,73,83.13,71.32,1,64.99,46.58
94658,959,71.0,71,14.22,10.15,1,23.11,29.32
84713,1613,69.0,69,70.72,57.02,1,99.48,133.50
125680,77,68.0,68,10.35,11.64,1,62.91,20.86
60861,19399,68.0,68,63.14,91.02,1,50.14,79.91
146563,21809,68.0,68,45.71,7.38,1,72.89,70.43
162246,4886,67.0,67,27.45,25.68,1,17.43,3.20
84077,277,67.0,67,48.49,49.15,1,77.39,80.48
180071,14552,67.0,67,47.41,75.35,1,63.01,98.78
66676,12854,67.0,67,37.02,0.95,1,68.80,75.41
137018,16034,66.0,66,81.87,1.39,1,72.03,16.13
78231,23705,66.0,66,2.97,3.47,1,3.82,6.29
38216,668,66.0,66,95.52,54.44,1,87.85,75.26
11882,18841,66.0,66,15.83,18.53,1,73.76,63.79
185035,16639,65.0,65,46.49,51.80,1,61.08,6.88
40825,2972,64.0,64,31.50,13.67,1,21.75,5.93
132848,3659,64.0,64,37.07,1.25,1,35.24,43.40
65452,20095,63.0,63,5.70,4.59,1,94.28,179.30
98285,18914,63.0,63,89.38,47.37,1,89.10,78.13
43174,5165,63.0,63,2.83,2.42,1,69.09,62.92
187365,15290,62.0,62,40.46,14.04,1,81.40,46.88
117864,23527,59.0,59,86.54,45.71,1,65.92,73.83
126061,8813,59.0,59,96.59,20.74,1,30.81,54.68
137160,3893,59.0,59,80.73,28.22,1,61.80,17.30
187707,22478,59.0,59,17.17,3.44,1,75.66,47.66
192890,19969,58.0,58,37.78,30.35,1,97.68,30.72
146419,19058,57.0,57,1.94,0.90,1,7.11,9.56
