product_name,brand,class,category,avg_quantity_on_hand
ablen steingeing,exportiexporti #1,toddlers,Children,422.2642276422764
esebarantin stought,edu packimporto #1,sports-apparel,Men,424.7469879518072
esebaroughtation,edu packscholar #1,classical,Music,429.7171314741036
callyeingablen st,edu packmaxi #11,entertainments,Books,432.59591836734694
barn stoughteingought,amalgimporto #1,accessories,Men,432.7136929460581
callyantiationableought,amalgamalg #1,dresses,Women,434.248
callyationeseableable,univbrand #5,jewelry boxes,Jewelry,437.57370517928285
ablebarantianti,amalgexporti #1,newborn,Children,437.896265560166
eseoughteseoughtable,amalgscholar #1,rock,Music,438.204
eseationeseought,edu packbrand #5,curtains/drapes,Home,438.7569721115538
eingoughtn station,amalgamalg #1,dresses,Women,439.0083682008368
callycallyablecallyought,exportiamalg #1,maternity,Women,439.8381742738589
eseantiantiationought,importonameless #5,baseball,Sports,439.99590163934425
oughteingn stanti,univnameless #2,flatware,Home,440.49690721649483
esebareingbarought,maxicorp #5,womens watch,Jewelry,440.5894308943089
ableeseprioughtable,corpamalgamalg #8,wireless,Electronics,441.40485829959516
eingcallybaranti,edu packmaxi #5,entertainments,Books,442.02928870292885
eseableationeseought,edu packmaxi #5,tennis,Sports,442.56573705179284
ablecallyn stought,edu packamalgamalg #8,automotive,Electronics,442.625
ableprin stought,edu packexporti #1,school-uniforms,Children,444.2
callyoughtn stn st,edu packamalg #1,swimwear,Women,445.05737704918033
barbarbareseable,corpbrand #1,consignment,Jewelry,445.1847389558233
callyn stablebarought,maxicorp #1,womens watch,Jewelry,445.6392156862745
callycallyn stpriought,namelessnameless #7,outdoor,Sports,445.66803278688525
ablen stn steing,edu packscholar #1,classical,Music,446.22633744855966
eseationantipri,exportiedu pack #1,kids,Shoes,446.6275303643725
eseoughteingn st,edu packscholar #1,classical,Music,446.633064516129
eseationeseableought,edu packbrand #5,curtains/drapes,Home,447.1869918699187
eingoughtn stableought,corpbrand #9,rugs,Home,447.33196721311475
ableantin st,importoimporto #1,shirts,Men,447.6008064516129
eseoughtationableable,maxiunivamalg #3,televisions,Electronics,447.69322709163345
eseesen station,maxicorp #1,womens watch,Jewelry,448.3266129032258
ableeseeseantiought,importoedu pack #1,mens,Shoes,448.4032258064516
esebareingantiought,importoedu pack #1,mens,Shoes,449.62
eseeseought,brandbrand #5,decor,Home,449.66
callyeingationcally,maxiunivamalg #4,televisions,Electronics,449.8714859437751
barableableable,amalgnameless #1,accent,Home,450.03643724696354
eingpriationcally,brandcorp #3,pendants,Jewelry,450.17622950819674
ableoughtesepriable,edu packamalgamalg #4,automotive,Electronics,450.2712550607287
callyprin stought,importoexporti #1,infants,Children,450.4320987654321
eingantiationanti,edu packscholar #1,classical,Music,450.5
barprieinganti,importocorp #7,diamonds,Jewelry,450.81048387096774
ationprieingn st,importoexporti #2,infants,Children,450.85483870967744
ablebarcallyoughtought,univnameless #3,flatware,Home,450.94331983805665
ableantiablecally,exportischolar #1,pop,Music,450.9710743801653
eseoughteseese,exportischolar #1,pop,Music,451.0160642570281
ableeingeingation,amalgexporti #1,newborn,Children,451.09053497942386
ablepriableeseought,edu packamalg #1,swimwear,Women,451.46153846153845
eingationationantiought,maximaxi #11,science,Books,451.6942148760331
ableationcallyation,brandnameless #3,hockey,Sports,451.89669421487605
oughtoughtesecally,edu packamalg #2,swimwear,Women,452.1361788617886
priableeingbarought,scholarmaxi #12,history,Books,452.19354838709677
eingprieingantiought,importoexporti #1,infants,Children,452.41224489795917
ableationableanti,amalgamalg #1,dresses,Women,452.491935483871
callyeingablepri,exportimaxi #7,sailing,Sports,452.78688524590166
ableoughtantin stought,maxiunivamalg #14,televisions,Electronics,452.7886178861789
ablepricallyn stought,exportimaxi #3,sailing,Sports,452.8690476190476
callyableantiable,importoexporti #1,infants,Children,452.9681274900398
eingoughtantipriable,importoedu pack #1,mens,Shoes,453.2217741935484
callyantiationation,amalgexporti #1,newborn,Children,453.2429149797571
esen stationeing,maxiunivamalg #6,televisions,Electronics,453.39748953974896
eseeingeingoughtought,namelessnameless #5,outdoor,Sports,453.53688524590166
callyesepripriable,importoimporto #1,shirts,Men,453.61044176706827
barationn stn st,importoimporto #1,shirts,Men,453.6904761904762
eingbarablepri,importoexporti #1,infants,Children,453.7894736842105
bareingationableable,namelessbrand #1,lighting,Home,453.9311740890688
callyoughteingeseought,amalgedu pack #1,womens,Shoes,454.1111111111111
callyeingeingable,importoimporto #1,shirts,Men,454.2885375494071
eingn stcallybarable,exportiimporto #1,pants,Men,454.38823529411764
eseeseationantiought,corpmaxi #5,golf,Sports,454.404
barpribaroughtable,importomaxi #1,guns,Sports,454.4065040650407
eingn stoughtpri,importounivamalg #3,camcorders,Electronics,454.44444444444446
baroughteing,edu packunivamalg #7,sports,Books,454.54285714285714
eseesebarpriought,edu packamalg #1,swimwear,Women,454.68951612903226
eingoughteingought,importoscholar #1,country,Music,454.753036437247
callyn stn station,scholarbrand #7,blinds/shades,Home,454.94736842105266
eingationeseeing,importoamalg #1,fragrances,Women,455.14516129032256
n stcallyprieingought,exportiedu pack #2,kids,Shoes,455.16733067729086
eseationn stoughtought,univnameless #5,flatware,Home,455.16803278688525
ableationableese,univamalgamalg #6,memory,Electronics,455.2105263157895
barn stantieseought,importoedu pack #1,mens,Shoes,455.2244897959184
eingablebaroughtable,edu packunivamalg #5,sports,Books,455.281124497992
eingoughteingbarought,exportiamalg #1,maternity,Women,455.30434782608694
barationcallyeseought,importocorp #7,diamonds,Jewelry,455.60956175298804
eseoughteseought,exportischolar #1,pop,Music,455.66533864541833
callypribarpri,exportiimporto #1,pants,Men,455.668016194332
bareseeingeingought,importoexporti #1,infants,Children,455.6761133603239
ableableeseeing,exportiimporto #1,pants,Men,455.71784232365144
ationcallyableationought,edu packamalgamalg #13,automotive,Electronics,455.7789256198347
barantiantioughtable,amalgimporto #1,accessories,Men,455.8024691358025
callyn steseeseought,brandunivamalg #13,personal,Electronics,455.8641975308642
eingantiablebarable,scholarcorp #3,earings,Jewelry,455.8897959183673
esen stantiableought,exportiamalg #1,maternity,Women,455.9959677419355
callyeseeingpri,exportinameless #7,basketball,Sports,456.12955465587044
eseeingeingable,exportibrand #5,kids,Home,456.12955465587044
barablebarationought,importoedu pack #1,mens,Shoes,456.1469387755102
ableeingoughtable,univmaxi #3,pools,Sports,456.1991869918699
barationeingcallyought,corpunivamalg #11,mystery,Books,456.5101214574899
esecallypri,univunivamalg #5,travel,Books,456.52868852459017
eseableesepri,amalgamalg #1,dresses,Women,456.61354581673305
