i_item_id,i_item_desc,i_category,i_class,i_current_price,revenueratio
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,1.570636521868258e-05
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,6.996471779231331e-05
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.00015649251163341916
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.0002433058757512283
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.0003284058182088175
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.00038266417078244825
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.00038923228714662466
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.0017956658999104737
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.002130925404760171
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.0032743487926802624
AAAAAAAAAAKAAAAA,"Systematic, good contracts can hear to a leaves; social women seem at a books. Judicial products enable ever old leaders. Aside modest sons extend wome",Books,arts,2.42,0.0032971944148165277
AAAAAAAAACIEAAAA,Under way clinical remarks must make still possible resulting schools. Again high th,Books,arts,4.02,0.0008193011238618239
AAAAAAAAACIEAAAA,Under way clinical remarks must make still possible resulting schools. Again high th,Books,arts,4.02,0.0016745841025882662
AAAAAAAAACIEAAAA,Under way clinical remarks must make still possible resulting schools. Again high th,Books,arts,4.02,0.004244145452364736
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.00022445823748880922
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.00045262888857476157
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.0006313958817910396
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.0011708381344836104
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.0014504114353761602
AAAAAAAAACKBAAAA,"Social factors can report heavily different services. Patient values produce that given officers. Distinctive, am",Books,arts,6.92,0.002809440382207258
