i_product_name,i_brand,i_class,i_category,avg_qoh
esebarantin stought,edu packimporto #1,sports-apparel,Men,424.7469879518072
esebarantin stought,edu packimporto #1,sports-apparel,,424.7469879518072
esebarantin stought,edu packimporto #1,,,424.7469879518072
esebarantin stought,,,,424.7469879518072
callyeingablen st,edu packmaxi #11,entertainments,Books,432.59591836734694
callyeingablen st,edu packmaxi #11,entertainments,,432.59591836734694
callyeingablen st,edu packmaxi #11,,,432.59591836734694
callyeingablen st,,,,432.59591836734694
barn stoughteingought,amalgimporto #1,accessories,Men,432.7136929460581
barn stoughteingought,amalgimporto #1,accessories,,432.7136929460581
barn stoughteingought,amalgimporto #1,,,432.7136929460581
barn stoughteingought,,,,432.7136929460581
ationprically,exportiamalg #2,maternity,Women,433.04347826086956
ationprically,exportiamalg #2,maternity,,433.04347826086956
ationprically,exportiamalg #2,,,433.04347826086956
ationprically,,,,433.04347826086956
oughtcallyableese,importoedu pack #2,mens,Shoes,435.54583333333335
oughtcallyableese,importoedu pack #2,mens,,435.54583333333335
oughtcallyableese,importoedu pack #2,,,435.54583333333335
oughtcallyableese,,,,435.54583333333335
eseationeseought,edu packbrand #5,curtains/drapes,Home,438.7569721115538
eseationeseought,edu packbrand #5,curtains/drapes,,438.7569721115538
eseationeseought,edu packbrand #5,,,438.7569721115538
eseationeseought,,,,438.7569721115538
eingoughtn station,amalgamalg #1,dresses,Women,439.0083682008368
eingoughtn station,amalgamalg #1,dresses,,439.0083682008368
eingoughtn station,amalgamalg #1,,,439.0083682008368
eingoughtn station,,,,439.0083682008368
eseantiantiationought,importonameless #5,baseball,Sports,439.99590163934425
eseantiantiationought,importonameless #5,baseball,,439.99590163934425
eseantiantiationought,importonameless #5,,,439.99590163934425
eseantiantiationought,,,,439.99590163934425
esebareingbarought,maxicorp #5,womens watch,Jewelry,440.5894308943089
esebareingbarought,maxicorp #5,womens watch,,440.5894308943089
esebareingbarought,maxicorp #5,,,440.5894308943089
esebareingbarought,,,,440.5894308943089
eingcallybaranti,edu packmaxi #5,entertainments,Books,442.02928870292885
eingcallybaranti,edu packmaxi #5,entertainments,,442.02928870292885
eingcallybaranti,edu packmaxi #5,,,442.02928870292885
eingcallybaranti,,,,442.02928870292885
oughtbarantiableable,exportiedu pack #2,kids,Shoes,443.40495867768595
oughtbarantiableable,exportiedu pack #2,kids,,443.40495867768595
oughtbarantiableable,exportiedu pack #2,,,443.40495867768595
oughtbarantiableable,,,,443.40495867768595
bareseantipriable,importoamalg #1,fragrances,Women,444.656
bareseantipriable,importoamalg #1,fragrances,,444.656
bareseantipriable,importoamalg #1,,,444.656
bareseantipriable,,,,444.656
prin stn stbarought,exporticorp #2,gold,Jewelry,444.798353909465
prin stn stbarought,exporticorp #2,gold,,444.798353909465
prin stn stbarought,exporticorp #2,,,444.798353909465
prin stn stbarought,,,,444.798353909465
callyoughtn stn st,edu packamalg #1,swimwear,Women,445.05737704918033
callyoughtn stn st,edu packamalg #1,swimwear,,445.05737704918033
callyoughtn stn st,edu packamalg #1,,,445.05737704918033
callyoughtn stn st,,,,445.05737704918033
callycallyn stpriought,namelessnameless #7,outdoor,Sports,445.66803278688525
callycallyn stpriought,namelessnameless #7,outdoor,,445.66803278688525
callycallyn stpriought,namelessnameless #7,,,445.66803278688525
callycallyn stpriought,,,,445.66803278688525
ablen stn steing,edu packscholar #1,classical,Music,446.22633744855966
ablen stn steing,edu packscholar #1,classical,,446.22633744855966
ablen stn steing,edu packscholar #1,,,446.22633744855966
ablen stn steing,,,,446.22633744855966
eseationantipri,exportiedu pack #1,kids,Shoes,446.6275303643725
eseationantipri,exportiedu pack #1,kids,,446.6275303643725
eseationantipri,exportiedu pack #1,,,446.6275303643725
eseationantipri,,,,446.6275303643725
eseoughteingn st,edu packscholar #1,classical,Music,446.633064516129
eseoughteingn st,edu packscholar #1,classical,,446.633064516129
eseoughteingn st,edu packscholar #1,,,446.633064516129
eseoughteingn st,,,,446.633064516129
bareingcally,exportiedu pack #1,kids,Shoes,447.41803278688525
bareingcally,exportiedu pack #1,kids,,447.41803278688525
bareingcally,exportiedu pack #1,,,447.41803278688525
bareingcally,,,,447.41803278688525
ableantin st,importoimporto #1,shirts,Men,447.6008064516129
ableantin st,importoimporto #1,shirts,,447.6008064516129
ableantin st,importoimporto #1,,,447.6008064516129
ableantin st,,,,447.6008064516129
oughtantieseableought,exportiexporti #2,toddlers,Children,447.64940239043824
oughtantieseableought,exportiexporti #2,toddlers,,447.64940239043824
oughtantieseableought,exportiexporti #2,,,447.64940239043824
oughtantieseableought,,,,447.64940239043824
eseoughtationableable,maxiunivamalg #3,televisions,Electronics,447.69322709163345
eseoughtationableable,maxiunivamalg #3,televisions,,447.69322709163345
eseoughtationableable,maxiunivamalg #3,,,447.69322709163345
eseoughtationableable,,,,447.69322709163345
eingationablecally,exportiamalg #1,maternity,Women,447.72549019607845
eingationablecally,exportiamalg #1,maternity,,447.72549019607845
eingationablecally,exportiamalg #1,,,447.72549019607845
eingationablecally,,,,447.72549019607845
ationoughteseought,amalgexporti #2,newborn,Children,448.0722891566265
ationoughteseought,amalgexporti #2,newborn,,448.0722891566265
ationoughteseought,amalgexporti #2,,,448.0722891566265
ationoughteseought,,,,448.0722891566265
ationeingation,amalgexporti #2,newborn,Children,448.2914979757085
ationeingation,amalgexporti #2,newborn,,448.2914979757085
ationeingation,amalgexporti #2,,,448.2914979757085
ationeingation,,,,448.2914979757085
