d_year,i_brand,i_brand_id,total_sales
2002,edu packnameless #8,7014008,286102.78
2002,edu packamalg #1,1004001,268186.37
2002,exportiedu pack #2,4003002,238246.41
2002,amalgbrand #6,6011006,221972.79
2002,amalgedu pack #1,8012002,199180.92
2002,exportiunivamalg #14,10003014,190401.86
2001,exportiedu pack #2,4003002,252609.07
2001,importoamalg #2,1002002,249036.70
2001,exportiunivamalg #14,10003014,238435.57
2001,edu packnameless #8,7014008,205835.58
2001,amalgbrand #6,6011006,165434.68
2000,edu packedu pack #1,4004001,254023.56
2000,exportiexporti #1,3003001,245567.79
2000,exportiedu pack #2,4003002,243851.36
2000,edu packnameless #8,7014008,225960.13
2000,exportiunivamalg #14,10003014,224660.42
2000,importoamalg #2,1002002,161136.15
1999,amalgmaxi #5,8011005,261836.10
1999,exportiedu pack #2,4003002,242816.07
1999,exportiexporti #1,3003001,222966.74
1999,edu packnameless #8,7014008,208784.08
1999,edu packedu pack #1,4004001,182569.97
1999,exportinameless #3,7013003,177552.02
1999,exportiunivamalg #14,10003014,172937.73
1998,exportiedu pack #2,4003002,270685.08
1998,exportinameless #3,7013003,263905.74
1998,edu packnameless #8,7014008,253905.91
1998,exportiexporti #1,3003001,244402.75
1998,exportiunivamalg #14,10003014,216845.88
1998,amalgmaxi #5,8011005,204129.18
1998,edu packedu pack #1,4004001,163197.70
