s_store_name,s_store_id,Sunday_sales,Monday_sales,Tuesday_sales,Wednesday_sales,Thursday_sales,Friday_sales,Saturday_sales
able,AAAAAAAAACAAAAAA,2785950.24,2617456.83,2605302.22,2612902.49,2679696.09,2743491.67,2804322.57
able,AAAAAAAACAAAAAAA,2776787.88,2618270.71,2643517.27,2680163.28,2742661.98,2753510.43,2765276.15
able,AAAAAAAAGBAAAAAA,2785404.21,2616007.45,2616427.41,2645604.86,2720246.82,2689495.96,2733514.43
anti,AAAAAAAAJBAAAAAA,2898463.09,2695052.37,2617496.57,2746569.46,2706297.83,2720051.59,2832329.01
ation,AAAAAAAAHAAAAAAA,2889439.58,2633514.19,2610653.39,2693256.51,2756767.06,2684925.68,2825866.41
bar,AAAAAAAAEBAAAAAA,2878393.96,2622570.40,2587731.12,2722307.77,2722693.93,2690806.97,2800298.97
bar,AAAAAAAAKAAAAAAA,2846224.00,2623992.36,2596313.97,2738441.30,2730519.93,2685179.77,2728576.96
cally,AAAAAAAAABAAAAAA,2831566.89,2627051.98,2639390.67,2667830.26,2658963.13,2686476.14,2812689.96
cally,AAAAAAAAKBAAAAAA,2794957.55,2589210.95,2655549.56,2634926.45,2704898.31,2697236.21,2800671.13
eing,AAAAAAAAIAAAAAAA,2885611.34,2614814.95,2622881.78,2676334.67,2717753.14,2657330.66,2823108.27
eing,AAAAAAAAMBAAAAAA,2769149.25,2648223.51,2628807.15,2678803.60,2695752.78,2767553.44,2854083.81
ese,AAAAAAAAEAAAAAAA,2844421.98,2581515.18,2630952.50,2665462.25,2712022.75,2763991.89,2796866.68
ese,AAAAAAAAOAAAAAAA,2854264.27,2623038.29,2677285.02,2680826.94,2666227.99,2653567.37,2828767.18
n st,AAAAAAAADBAAAAAA,2813833.77,2634386.62,2669330.19,2672442.50,2691197.02,2659819.30,2789304.28
ought,AAAAAAAABAAAAAAA,2808846.25,2600653.78,2631764.78,2672924.81,2743300.01,2650410.12,2716952.24
ought,AAAAAAAAPBAAAAAA,2897720.48,2699873.13,2667852.48,2643788.92,2747003.41,2647551.67,2761717.86
pri,AAAAAAAANAAAAAAA,2811457.16,2703192.73,2599968.87,2718293.50,2784599.15,2761162.96,2812872.93
