ss_store_sk,s_company_name,i_brand,i_category,month,year,total_month_sales,prev_month_deviation,current_month_deviation,next_month_deviation
25,Unknown,amalgunivamalg #3,Electronics,12,2001,1104.55,-61.91710813337489,450.72608289186655,
14,Unknown,importounivamalg #7,Electronics,12,2001,817.25,-65.01970276964647,406.0656383697365,
7,Unknown,univamalgamalg #12,Electronics,11,2001,626.44,-50.91958699250863,383.35063550405437,44.10861086950424
32,Unknown,amalgunivamalg #12,Electronics,12,2001,702.06,-84.97908386724245,374.38526226557644,
10,Unknown,edu packunivamalg #17,Electronics,12,2001,502.18,12.160813140938384,355.7400853071967,
14,Unknown,edu packamalgamalg #6,Electronics,12,2001,782.28,50.44645364182624,339.31038355702816,
4,Unknown,maxiunivamalg #4,Electronics,9,2001,461.10,-27.124857714801585,334.3682537190407,-63.84503669976842
4,Unknown,amalgunivamalg #2,Electronics,12,2001,272.72,86.336022164822,332.8951355719419,
22,Unknown,importoamalgamalg #17,Electronics,12,2001,1650.40,87.24547386476142,316.29723986152015,
22,Unknown,univamalgamalg #8,Electronics,12,2001,534.65,-23.815628174144514,311.9750621694512,
10,Unknown,importounivamalg #1,Electronics,11,2001,660.52,-15.479105729768944,311.86087114255264,
22,Unknown,corpunivamalg #14,Electronics,11,2001,875.15,13.436100975849863,310.255408583416,62.47079872803556
7,Unknown,maxiunivamalg #4,Electronics,12,2001,359.58,157.73005843508002,309.9919236068222,
2,Unknown,scholaramalgamalg #5,Electronics,8,2001,588.23,-83.95813078447961,308.49821336127985,66.22432101415423
14,Unknown,scholaramalgamalg #5,Electronics,12,2001,618.36,34.96726097211,307.94972868664547,
8,Unknown,univamalgamalg #8,Electronics,11,2001,590.87,-80.07019083132266,307.3305549462602,85.93112524676462
8,Unknown,brandunivamalg #7,Electronics,12,2001,1525.39,45.20314364992016,305.3501396218142,
28,Unknown,amalgamalgamalg #7,Electronics,12,2001,673.55,43.341425351135754,301.47878012831626,
32,Unknown,brandunivamalg #12,Electronics,12,2001,629.46,30.91253059028402,300.5843250467171,
31,Unknown,scholaramalgamalg #9,Electronics,12,2001,647.06,29.353911179297526,294.45658027087165,
10,Unknown,edu packamalgamalg #14,Electronics,12,2001,1203.74,87.70236077333135,294.2778064378772,
32,Unknown,corpunivamalg #5,Electronics,11,2001,638.15,-70.69831576873831,292.8333989953708,112.52954791687185
20,Unknown,exportiamalgamalg #15,Electronics,11,2001,810.99,65.00623062913377,288.69060932357735,-14.995047448637248
7,Unknown,brandunivamalg #12,Electronics,12,2001,615.73,-22.568931349301806,287.9302839731033,
19,Unknown,edu packunivamalg #17,Electronics,9,2001,686.54,14.987687222491658,287.9104062981152,24.76822314613831
28,Unknown,univamalgamalg #8,Electronics,12,2001,407.93,81.16041929119821,287.849112215065,
28,Unknown,corpunivamalg #14,Electronics,12,2001,1056.10,221.48363147522954,287.1984845938803,
16,Unknown,namelessunivamalg #17,Electronics,12,2001,919.35,158.98238172234937,286.11116944205287,
1,Unknown,scholarunivamalg #2,Electronics,12,2001,400.00,121.07429368678059,283.6763167073596,
10,Unknown,amalgamalgamalg #5,Electronics,12,2001,1396.95,27.344960668689005,280.34410075713055,
13,Unknown,exportiamalgamalg #2,Electronics,11,2001,862.29,-58.550817006032766,279.01607639308594,
10,Unknown,brandunivamalg #5,Electronics,12,2001,1230.38,113.58498307518722,278.6172940814443,
4,Unknown,namelessunivamalg #16,Electronics,12,2001,999.53,24.367615873977595,278.4951529839443,
2,Unknown,edu packunivamalg #5,Electronics,11,2001,1506.44,-33.81568320577146,278.23483380689544,153.4437521184756
16,Unknown,exportiunivamalg #8,Electronics,11,2001,1505.69,69.8876966872087,276.81108643288394,15.208809084368266
4,Unknown,scholaramalgamalg #5,Electronics,10,2001,591.54,34.848546100314756,275.7870116369727,32.28841211631199
16,Unknown,amalgamalgamalg #4,Electronics,12,2001,1174.37,100.78351397830147,272.2732207813478,
1,Unknown,edu packunivamalg #14,Electronics,12,2001,1060.18,70.67054082568012,266.7237413307044,
32,Unknown,scholaramalgamalg #9,Electronics,11,2001,377.18,-65.79238579665689,266.1301908404357,
32,Unknown,namelessunivamalg #17,Electronics,12,2001,1096.84,-51.17272211657159,265.9426817469055,
32,Unknown,corpunivamalg #9,Electronics,11,2001,1593.45,67.066081113621,265.42408641111786,89.73523982066483
8,Unknown,maxiunivamalg #9,Electronics,12,2001,416.45,29.55887847495488,264.1657325924336,
4,Unknown,scholaramalgamalg #14,Electronics,12,2001,1634.44,149.83949126799118,263.7322591951753,
25,Unknown,scholaramalgamalg #11,Electronics,11,2001,2621.48,38.152389557838504,263.4831700854928,95.90387924012052
4,Unknown,scholarunivamalg #11,Electronics,11,2001,1371.50,45.0667938299324,263.34253942392394,99.0343539510024
10,Unknown,maxiunivamalg #9,Electronics,12,2001,533.47,21.222295319979132,263.0611828225313,
4,Unknown,exportiunivamalg #9,Electronics,10,2001,462.54,-11.419710947709232,260.8589651069805,15.012385169003903
8,Unknown,edu packamalgamalg #10,Electronics,11,2001,1106.76,22.244876408327727,259.60912052117266,62.48304320631646
