d_year,i_brand,i_brand_id,ext_price_total
2002,importoedu pack #2,4002002,39667757.94
2002,edu packscholar #2,5004002,39190141.62
2002,edu packamalg #2,1004002,36941490.91
2002,exportischolar #2,5003002,36046853.28
2002,importoimporto #2,2002002,35961137.88
2002,importoscholar #2,5002002,35608768.74
2002,amalgamalg #2,1001002,34993154.28
2002,importoexporti #2,3002002,34901331.48
2002,amalgedu pack #2,4001002,34269332.65
2002,exportiedu pack #2,4003002,34240754.51
2002,importoamalg #2,1002002,34012779.14
2002,amalgimporto #2,2001002,33762205.18
2002,edu packedu pack #2,4004002,33418108.37
2002,exportiexporti #2,3003002,33380822.33
2002,amalgscholar #2,5001002,32663690.33
2002,edu packexporti #2,3004002,32569934.32
2002,exportiamalg #2,1003002,32507985.49
2002,amalgexporti #2,3001002,32423244.66
2002,exportiimporto #2,2003002,31724002.36
2002,edu packimporto #2,2004002,28380232.70
2002,importoimporto #1,2002001,15436789.89
2002,importoamalg #1,1002001,14419863.00
2002,exportiimporto #1,2003001,13867565.37
2002,exportiexporti #1,3003001,13616213.75
2002,amalgexporti #1,3001001,12936919.95
2002,edu packscholar #1,5004001,12917554.79
2002,importoedu pack #1,4002001,12711247.09
2002,edu packexporti #1,3004001,12530455.59
2002,edu packedu pack #1,4004001,12495608.59
2002,exportischolar #1,5003001,12471510.35
2002,amalgamalg #1,1001001,12361630.75
2002,amalgscholar #1,5001001,11719156.19
2002,edu packamalg #1,1004001,11545483.01
2002,edu packimporto #1,2004001,10890373.16
2002,amalgedu pack #1,4001001,10631782.56
2002,exportiamalg #1,1003001,10406323.92
2002,amalgimporto #1,2001001,10300610.72
2002,importoexporti #1,3002001,10062663.93
2002,importoscholar #1,5002001,9821411.55
2002,exportiedu pack #1,4003001,8347075.73
2002,scholarmaxi #2,9005002,4615192.49
2002,edu packnameless #8,7014008,4274177.19
2002,scholarbrand #6,6015006,4246467.01
2002,exportimaxi #2,9003002,4117370.89
2002,importounivamalg #2,9012002,3989165.84
2002,scholarunivamalg #8,9015008,3956642.19
2002,scholarunivamalg #2,9015002,3955154.63
2002,edu packbrand #10,7004010,3745864.53
2002,exporticorp #8,6003008,3719296.22
2002,brandmaxi #8,9007008,3631136.11
2002,importounivamalg #8,9012008,3620856.85
2002,importobrand #8,7002008,3603791.46
2002,univunivamalg #2,9010002,3564075.62
2002,importobrand #2,7002002,3527223.44
2002,scholarmaxi #8,9005008,3520949.73
2002,edu packmaxi #2,9004002,3498466.28
2002,exportimaxi #8,9003008,3401138.75
2002,edu packunivamalg #8,9014008,3369575.48
2002,univunivamalg #8,9010008,3325369.46
2002,edu packmaxi #8,9004008,3320879.84
2002,edu packbrand #6,6014006,3310101.47
2002,maximaxi #8,9009008,3279776.26
2002,brandcorp #6,6007006,3278305.17
2002,importomaxi #8,8012008,3246952.42
2002,maxibrand #2,7009002,3189750.99
2002,namelessmaxi #2,9008002,3187173.62
2002,amalgcorp #8,6001008,3162922.41
2002,corpbrand #6,6016006,3162259.89
2002,amalgnameless #2,8001002,3115191.19
2002,maxicorp #8,6009008,3104175.49
2002,amalgbrand #6,6011006,3101952.55
2002,maxicorp #6,6009006,3075131.25
2002,edu packnameless #6,7014006,2997984.22
2002,maxinameless #2,8009002,2994535.23
2002,scholarnameless #2,7015002,2992288.55
2002,importobrand #6,6012006,2981985.41
2002,exportimaxi #1,9003001,2955952.01
2002,scholarcorp #6,6005006,2922715.10
2002,exportiunivamalg #2,9013002,2918357.62
2002,corpmaxi #10,8016010,2866490.75
2002,importobrand #4,6012004,2860304.44
2002,maxinameless #6,8009006,2802431.21
2002,namelessmaxi #8,9008008,2788476.46
2002,amalgmaxi #2,9001002,2776195.02
2002,corpunivamalg #8,9016008,2772869.43
2002,amalgunivamalg #8,9011008,2763413.56
2002,amalgnameless #6,7011006,2744730.73
2002,amalgcorp #2,6001002,2741978.05
2002,brandcorp #8,6007008,2740716.62
2002,importomaxi #8,9002008,2725242.78
2002,brandbrand #4,7007004,2723935.50
2002,brandcorp #3,6007003,2721959.24
2002,importomaxi #2,9002002,2721129.01
2002,,,2714621.60
2002,scholarcorp #8,6005008,2713598.56
2002,univmaxi #6,8010006,2704486.41
2002,corpmaxi #6,8016006,2670923.25
2002,exportimaxi #6,8013006,2654694.95
2002,corpunivamalg #2,9016002,2645851.67
2002,amalgnameless #10,8001010,2609172.53
