month,cc_call_center_id,i_brand,i_category,monthly_sales,avg_monthly_sales,sales_deviation_prev_month,sales_deviation_next_month
8,AAAAAAAAEAAAAAAA,edu packamalgamalg #1,Electronics,2758.82,2507.983333333333,990.76,-75.91
5,AAAAAAAABAAAAAAA,scholarunivamalg #10,Electronics,2349.09,2610.9508333333333,1387.75,646.79
9,AAAAAAAAEAAAAAAA,corpcorp #1,Jewelry,8550.12,7770.65,-1036.27,-2151.24
2,AAAAAAAACAAAAAAA,exportibrand #6,Jewelry,2402.85,2183.7908333333335,1067.77,1583.02
10,AAAAAAAABAAAAAAA,brandnameless #8,Sports,2207.83,2006.4233333333334,-848.50,-1663.98
10,AAAAAAAACAAAAAAA,exportiamalgamalg #3,Electronics,1232.11,1119.6208333333334,-852.33,-1131.70
9,AAAAAAAAEAAAAAAA,scholarmaxi #10,Sports,2265.44,2058.5516666666667,-68.23,-2997.91
9,AAAAAAAABAAAAAAA,amalgmaxi #8,Sports,498.23,553.9172727272727,-157.91,-1037.42
3,AAAAAAAABAAAAAAA,namelessunivamalg #1,Electronics,662.21,601.6841666666667,285.56,508.30
7,AAAAAAAACAAAAAAA,edu packnameless #10,Sports,2277.88,2533.1908333333336,986.46,-1864.78
9,AAAAAAAABAAAAAAA,maxiunivamalg #8,Electronics,3218.46,2923.7766666666666,-1038.28,-499.76
8,AAAAAAAACAAAAAAA,univamalgamalg #15,Electronics,2214.70,2011.6341666666667,480.95,-573.30
8,AAAAAAAABAAAAAAA,maxibrand #1,Home,5427.70,4929.654166666666,1624.34,-1372.63
5,AAAAAAAAEAAAAAAA,edu packamalgamalg #7,Electronics,485.27,539.8075,364.92,254.33
2,AAAAAAAACAAAAAAA,edu packunivamalg #16,Electronics,1372.41,1526.7466666666667,517.28,915.56
10,AAAAAAAABAAAAAAA,corpnameless #2,Sports,2444.61,2220.065,-2.95,-2515.98
9,AAAAAAAABAAAAAAA,amalgbrand #10,Home,3628.08,3294.6583333333333,-549.22,-466.65
