item_id,total_sales_amount
7,11570.83
8,13177.78
41,16470.72
49,13564.40
59,10178.13
77,42385.38
151,10316.37
199,4633.97
265,41568.58
269,10572.54
293,3264.85
296,8691.79
331,23749.03
349,11459.37
385,23906.28
398,3046.92
409,2965.56
427,5914.51
428,12728.85
439,10133.19
446,21660.32
470,13252.21
488,21466.17
529,7734.50
530,6754.76
545,4141.68
547,14833.92
593,11652.88
595,5227.70
617,12429.29
623,33821.07
697,5850.88
707,21553.32
746,24969.32
770,13480.21
773,20905.86
787,5907.69
818,27516.25
866,1979.20
871,10934.36
901,17695.59
902,30072.39
917,5020.73
920,15996.45
938,13023.44
943,7698.26
985,40411.06
991,19084.14
998,36338.85
1039,19233.48
1075,7712.69
1088,7919.48
1172,974.89
1183,6817.50
1195,13815.85
1213,22771.80
1244,7007.44
1280,11727.83
1394,14153.18
1417,31900.18
1442,5103.58
1463,10880.82
1475,13226.65
1517,22610.52
1531,19266.87
1547,24426.22
1550,921.28
1580,7027.75
1609,20551.06
1643,26667.26
1711,8413.21
1730,5567.74
1772,4007.60
1783,29435.85
1784,9931.83
1790,7412.66
1802,7306.92
1831,8842.30
1838,18750.16
1841,17824.39
1843,30812.16
1867,11952.85
1927,17991.50
1940,9669.41
1945,7395.68
1955,16964.58
1967,6385.62
1994,11216.19
2027,8611.22
2048,18185.92
2053,14282.66
2077,21520.23
2102,1980.54
2131,29757.83
2138,10894.46
2141,13472.39
2147,4587.50
2203,18269.27
2204,7503.31
2216,15869.23
