s_store_name,i_item_desc,Revenue,i_current_price,i_wholesale_cost,i_brand,d_month_seq
able,"Able leaders used to provide other, good hours; local differences ought to mean for a rules. Effective, va",2.40,0.88,0.50,exportischolar #1,1229
able,About double months accept actually in a losses; and so on strange advantages shall criticise mental levels. Rates cannot create yesterday nonetheless principal s,0.34,1.59,0.68,amalgscholar #2,1226
able,About possible men cannot verify m,0.21,6.22,4.85,exportischolar #2,1228
able,Activities ensure however lucky hands. Great boys ought to go about new others. Needs include o,3.06,7.46,2.90,edu packnameless #4,1226
able,Already general trials might save hardly head principles. Other bands go all the same specific opportuni,2.08,1.98,0.99,importoexporti #2,1230
able,Already national seconds treat aware points. As empty directors must speak however cases. Thus only,3.02,3.28,4.69,edu packedu pack #2,1229
able,Also distinct pupil,0.00,9.52,0.52,importonameless #6,1225
able,"American, alone tools may move chiefly units. Worried, big women know. Used, equal connections come t",1.04,1.38,1.21,importounivamalg #1,1227
able,As ,1.46,4.90,1.86,amalgexporti #2,1229
able,As blue children should need even before the birds. Else open leaves focus cheerfully ,0.59,1.34,0.68,edu packexporti #2,1228
able,"As good resources would put uncertainly little victorian lives. Grey, wild children can give for certain eas",3.28,50.79,54.61,brandbrand #6,1225
able,"At least healthy months may accept most never financial studies. As religious others decide social, small cuts. Little lines might get only hot ideas; just very remains should emulate with a workers.",2.24,7.81,5.07,exportimaxi #6,1227
able,At least military classes ought to wear inevitable miles. Potential offi,0.27,3.92,3.04,exportiexporti #2,1227
able,"Back, legal reasons mention so great functions. Relationships can drive. English, reliable days used to ",0.64,7.59,5.46,edu packamalg #2,1230
able,Beautiful circumstances ,2.75,2.23,0.73,amalgscholar #1,1227
able,"Big, static workers assume free, positive officers; much coloured children",1.72,5.97,4.59,importounivamalg #7,1227
able,"Bodies cause less likely, full plants; neat companies could not like most widespread, easy years. H",0.46,98.30,84.53,importoexporti #2,1226
able,Calls greet as. Hard new years should not bear records; nervous designers respond alw,1.05,4.77,3.95,corpnameless #1,1230
able,"Candidates might watch briefly often light values; great colleges must worsen particular rewards; months must get too. English, visible personnel could adopt away orders",2.15,8.76,0.66,exportiedu pack #1,1226
able,Cas,2.59,2.90,1.76,exporticorp #2,1229
able,"Cells may dance as corporate, beautiful pains. Good actions know eventually obvious women. Years think clearly total symbols. Good women shall not e",1.23,5.86,4.92,amalgamalg #2,1228
able,Certainly following agreements avoid meanwhile walls. In general public questions divide much to the names. Possible questions cross always; certain gates shall kno,2.81,1.68,0.87,exportinameless #4,1228
able,"Changes used to know under nuclear experts. Times operate in a roads; techniques would not remind alone, subtle trans",0.92,1.22,0.59,amalgunivamalg #10,1230
able,Characteristics help purposes. Great seats could not enable fears. Ibid other themes m,3.46,1.08,0.72,amalgamalg #1,1229
able,"Children see high, great resources. Types find at a others. Meanwhile usual words ought to need words. Also suitable folk will rise here. Easily new categories look furthermore requirements. Unlik",3.22,4.38,1.97,namelesscorp #5,1228
able,Cle,1.52,0.65,0.50,importoedu pack #2,1226
able,"Commercial, scientific children woul",0.00,4.82,1.44,amalgexporti #2,1225
able,"Common, irish societies help slightly",2.63,4.23,3.59,importoamalg #1,1224
able,Consistently other passengers ought to edit more than. Seriously male eyes ,3.00,5.64,2.50,amalgunivamalg #11,1225
able,"Contrary pp. make then chosen relations. International months think just policies; overall, original duties ",1.67,3.94,0.22,corpcorp #5,1228
able,"Countries speak open crews. So special teachers could not go neighbouring, urban impl",0.05,3.20,1.45,amalgunivamalg #4,1229
able,"Dead families can provide key areas. Often necessary companies may not accuse straight in a members. Cultural, right discussions get just good mi",2.92,4.41,1.94,exportiedu pack #2,1225
able,"Delightful, white students may like. Walls may not follow established police; already complex girls sacrifice finan",2.41,4.40,4.28,importoexporti #1,1229
able,Different managers ought to say. Scientific others catch ways; therefore dirty arts would give ju,2.27,6.67,5.26,scholarunivamalg #10,1229
able,"Different, personal differences introduce more. Directly civil shadows could stop suddenly firms. Massive, able problems wi",1.01,4.87,2.87,corpmaxi #9,1228
able,"Difficult, new members shake alone companies. Patients fall maybe by a elections. Considerable developments quit perhaps. Light, endless panels must tour easy, regional rooms. Across comfortab",3.60,9.54,7.44,edu packimporto #1,1228
able,"Difficulties will attend at least good, efficient writers. Damages follow jointly bad, total problems. Current, new tanks could attempt good feet; legal, american patients give maybe ever g",1.14,1.69,1.36,amalgbrand #2,1226
able,"Emotional days enable as well as a children. Particularly real arrangements would cover dark inches. Important, proud differences find. Different relatio",3.32,4.34,2.42,edu packamalg #2,1226
able,"Endless, senior ports study today real, overseas students. Usual, cold profits might identify workers. Controversial, domestic dogs may grow either soviet, sharp st",0.97,4.29,2.87,edu packmaxi #8,1225
able,"Environmental, usual police know here. Tired, indian steps hold.",1.08,3.96,1.74,maximaxi #2,1225
able,"Evenings will get silver, public events. Public years must rethink. Roman hours would go from the sanctions. Once again residential tables cannot stay more different types. Activities balance efforts.",0.24,3.52,1.71,importonameless #5,1225
able,"Executives might boycott. Japanese, other opportunities find. Teachers will begin recently; customs may describe so eyes",3.72,3.06,2.75,importoedu pack #2,1228
able,"Expected, recent kinds catch simply men. Thanks collect consequently smooth seats. Great words would not begin more by a fingers. True, impossible se",1.69,8.52,1.52,amalgexporti #2,1229
able,"Explicitly high families may hope there able, total features. Options can suggest without a writers. Disciplinary months ought to point feder",0.26,83.01,71.38,corpunivamalg #17,1229
able,Fash,0.00,4.58,2.79,amalgnameless #6,1225
able,Females conduct legitimately. Banks illustrate on the newspapers. Usually national boxes,3.55,6.44,4.83,importoimporto #2,1226
able,"Financial, new pages should give identical, large troubles. Completely parliamentary scenes wear vast architects. Close sports should not run. Women reduce big, following men. Apparen",0.99,0.23,0.18,edu packimporto #1,1229
able,"Fine, used others provide quickly evil edges. Recent, financial",0.52,1.82,1.10,maximaxi #7,1226
able,Follo,2.74,5.49,1.66,importonameless #3,1226
able,"Full, just workers restore of course now secondary carers. Colleagues remove at a boys. So early auditors stretch simple, radical machines. Then fina",2.27,4.49,3.09,amalgscholar #2,1228
able,"Full, natural officials will not end for instance onwards initial questions. Individual, horrible colours facilitate; proposals should mitigate stable, eligible issues. Women work infrequently. Men ",1.12,2.68,2.19,corpmaxi #10,1226
able,"General, statutory windows save on the vess",1.82,4.09,1.78,amalgexporti #2,1228
able,"Golden, new",3.29,9.32,6.52,scholarnameless #8,1225
able,"Gothic homes go quietly bad, full houses. Only children cannot pr",0.43,5.52,1.87,exportiunivamalg #14,1227
able,"Great, green jews used to open once. International facts service to a processes. Inadequate years fall then great moments. Authorities keep only broken instructions. Directly common attitu",2.71,4.20,2.85,importoedu pack #2,1226
able,"Groups hurt children. Organisms would not pick somehow too square examples. Environmental years counteract further into a arguments. Nuclear, unawa",0.00,4.01,1.96,scholarnameless #6,1225
able,"Happily political schools deliver above common materials. Main, unpleasant parts allow workers. Foreign, yellow ",2.46,5.67,4.19,amalgcorp #8,1227
able,Horrible specialists will risk also often heavy communities. Effective pictures used to demand als,0.50,1.56,2.73,edu packscholar #2,1227
able,"Hot, orthodox designs would happen also here white years. Great, particular libraries will sound influential managers. Western, public stars wou",3.49,1.68,1.47,importoamalg #2,1228
able,"However divine eyes can display there between a children. All dead commentators ought to cross anyway super, dead conclusions. Originally white targets experience terribly b",2.71,7.98,5.56,scholarunivamalg #3,1225
able,"However great men argue negotiations. Complete, firm ways expect big, average copies. Possibly social types used to go wonderful, democratic con",0.96,2.13,2.41,edu packunivamalg #1,1229
able,Important ideas bother best early taxes. Simp,2.70,4.50,2.65,edu packscholar #2,1229
able,"Importantly sad years begin about english chapters. Standard, open circumstances might share. Words reflect long, good contacts. Relative, special races live medical generations. Hardly fundamental m",2.39,9.20,4.32,maxicorp #8,1227
able,"Impressive, white matters require old, big surfaces. Eyes will not perform at a times. Similar, formal factors appease most differences. Members would bother new problems. Men fill shortly locati",2.97,1.35,0.52,exportiexporti #2,1225
