brand,class,category,item,manufacturer,prev_yr_sales_cnt,curr_yr_sales_cnt,sales_cnt_diff,prev_yr_sales_amt,curr_yr_sales_amt,sales_amt_diff
scholarbrand #3,blinds/shades,Home,1432,pribarpri,40113,8463,-31650,1381500.54,412890.17,-968610.37
edu packbrand #3,curtains/drapes,Home,32,oughtpriese,39862,8457,-31405,1390467.70,408868.60,-981599.10
brandbrand #6,decor,Home,13675,ableesecally,39186,8078,-31108,1478298.32,338092.32,-1140206.00
importobrand #7,bedding,Home,3446,barable,40018,8913,-31105,1390606.76,398983.01,-991623.75
corpbrand #5,rugs,Home,3014,prioughtpri,40081,9315,-30766,1400167.47,443446.17,-956721.30
exportibrand #1,kids,Home,23320,anticallyable,38831,8087,-30744,1275334.41,369233.54,-906100.87
exportibrand #5,kids,Home,2284,esebaranti,38292,7897,-30395,1372571.61,423843.27,-948728.34
edu packbrand #3,curtains/drapes,Home,13052,antibarpri,40771,10400,-30371,1380068.70,502555.06,-877513.64
univnameless #1,flatware,Home,2950,pricallyese,39379,9024,-30355,1393888.30,375509.80,-1018378.50
corpnameless #6,furniture,Home,4615,oughtantieing,39415,9156,-30259,1287717.82,460545.36,-827172.46
exportinameless #9,wallpaper,Home,23018,oughtbarpri,39352,9120,-30232,1367465.99,372999.68,-994466.31
edu packnameless #1,glassware,Home,10490,antipriese,37826,7641,-30185,1231115.12,385546.52,-845568.60
exportinameless #9,wallpaper,Home,12958,ationeingese,38338,8264,-30074,1213862.80,378657.64,-835205.16
brandbrand #8,decor,Home,3007,callyought,37063,7026,-30037,1291614.87,302942.24,-988672.63
exportinameless #7,wallpaper,Home,506,eseoughtpri,38008,7982,-30026,1291796.32,357318.10,-934478.22
exportibrand #1,kids,Home,6350,ationprieing,39150,9166,-29984,1319613.57,450493.12,-869120.45
corpbrand #1,rugs,Home,8680,callyationought,38134,8195,-29939,1324108.54,399405.40,-924703.14
scholarnameless #8,tables,Home,7717,callyeingable,37898,7968,-29930,1176145.97,327427.37,-848718.60
brandbrand #5,decor,Home,9524,ationesecally,38679,8753,-29926,1247910.95,393218.22,-854692.73
univnameless #2,flatware,Home,18271,n stpriought,38035,8122,-29913,1309685.01,399058.53,-910626.48
corpbrand #3,rugs,Home,9022,anticallyought,39890,9981,-29909,1403566.80,459454.36,-944112.44
amalgbrand #9,bathroom,Home,22768,oughtationable,39587,9692,-29895,1432515.17,492963.51,-939551.66
scholarbrand #6,blinds/shades,Home,18055,antieingable,38717,8832,-29885,1441960.23,420729.33,-1021230.90
edu packnameless #2,glassware,Home,16021,antieseought,39235,9363,-29872,1265607.39,481003.04,-784604.35
corpbrand #7,rugs,Home,18896,n stprin st,39244,9384,-29860,1480474.77,409622.88,-1070851.89
importonameless #7,paint,Home,18686,eingpriable,39372,9531,-29841,1224110.57,391128.40,-832982.17
brandbrand #1,decor,Home,6710,pripriought,37770,7948,-29822,1283645.03,361147.99,-922497.04
exportibrand #3,kids,Home,3182,prieing,38079,8263,-29816,1305588.27,411154.71,-894433.56
edu packbrand #7,curtains/drapes,Home,23786,barableese,38523,8747,-29776,1318543.80,426817.63,-891726.17
maxibrand #5,mattresses,Home,13804,n steingable,38647,8920,-29727,1255582.00,438388.97,-817193.03
importobrand #1,bedding,Home,17900,esepri,39755,10063,-29692,1382087.02,516977.59,-865109.43
importonameless #4,paint,Home,9253,eseeseought,38607,9069,-29538,1405294.33,394266.22,-1011028.11
scholarnameless #3,tables,Home,9622,antin stable,38316,8794,-29522,1337330.95,350588.63,-986742.32
brandbrand #2,decor,Home,1681,oughtablepri,38556,9035,-29521,1307454.67,419816.63,-887638.04
scholarnameless #10,tables,Home,4849,oughtoughtought,37954,8435,-29519,1240873.59,399410.35,-841463.24
univnameless #1,flatware,Home,8390,eseantianti,38478,8984,-29494,1305457.90,426385.63,-879072.27
exportinameless #2,wallpaper,Home,19681,n stablepri,38095,8608,-29487,1395370.55,399009.03,-996361.52
amalgbrand #5,bathroom,Home,8324,pribarought,38934,9448,-29486,1292695.68,410264.47,-882431.21
edu packnameless #9,glassware,Home,13418,callyableanti,38569,9111,-29458,1285216.27,436791.02,-848425.25
namelessbrand #1,lighting,Home,12560,barbaranti,37627,8205,-29422,1406662.59,367164.99,-1039497.60
edu packnameless #2,glassware,Home,8161,callyeingn st,38657,9245,-29412,1292438.92,462319.16,-830119.76
importonameless #6,paint,Home,14305,priable,39599,10194,-29405,1356765.39,402861.74,-953903.65
corpnameless #8,furniture,Home,13027,n stoughtpri,37899,8504,-29395,1230286.28,368320.01,-861966.27
maxibrand #9,mattresses,Home,12388,callyablepri,37619,8259,-29360,1349865.71,390344.93,-959520.78
corpbrand #9,rugs,Home,12908,ableeingation,38513,9179,-29334,1345607.04,358269.88,-987337.16
corpnameless #6,furniture,Home,6295,barbarpri,37906,8590,-29316,1246401.13,354213.85,-892187.28
brandbrand #9,decor,Home,20848,ationoughtcally,37239,7929,-29310,1303351.15,374530.33,-928820.82
namelessbrand #1,lighting,Home,10700,antiationese,38688,9407,-29281,1336836.27,435560.60,-901275.67
edu packbrand #9,curtains/drapes,Home,2368,esebarpri,38645,9383,-29262,1256648.73,394721.05,-861927.68
namelessbrand #1,lighting,Home,15280,barbarbarought,38381,9134,-29247,1274798.00,498167.08,-776630.92
amalgbrand #5,bathroom,Home,20284,ationese,37055,7812,-29243,1229691.37,358608.66,-871082.71
edu packnameless #7,glassware,Home,2396,oughtoughtable,38910,9707,-29203,1303149.21,485167.83,-817981.38
exportinameless #1,wallpaper,Home,7310,eingought,37643,8441,-29202,1278499.86,397412.95,-881086.91
amalgnameless #5,accent,Home,12124,antin stought,37943,8786,-29157,1235011.42,346650.71,-888360.71
namelessbrand #4,lighting,Home,11923,ationation,37542,8402,-29140,1266696.10,436965.51,-829730.59
edu packbrand #6,curtains/drapes,Home,18295,antibarpri,38596,9464,-29132,1351186.79,457732.57,-893454.22
scholarnameless #7,tables,Home,12626,cally,38478,9382,-29096,1304227.63,390439.04,-913788.59
exportibrand #3,kids,Home,18002,eingesecally,38824,9735,-29089,1344993.71,443279.67,-901714.04
importonameless #10,paint,Home,21619,eingesecally,37346,8270,-29076,1239367.66,415296.17,-824071.49
brandbrand #3,decor,Home,8852,callyableable,38668,9595,-29073,1267928.61,460540.33,-807388.28
importobrand #9,bedding,Home,20518,antieseese,38898,9850,-29048,1221729.79,495183.41,-726546.38
edu packnameless #9,glassware,Home,2438,oughtantianti,37466,8439,-29027,1294160.91,344859.88,-949301.03
maxibrand #1,mattresses,Home,23680,esebarpri,36800,7816,-28984,1189547.23,311354.62,-878192.61
maxibrand #3,mattresses,Home,18092,oughtableable,39577,10606,-28971,1339825.08,492026.43,-847798.65
corpbrand #10,rugs,Home,22129,eseationought,38688,9724,-28964,1375621.09,469061.72,-906559.37
importonameless #7,paint,Home,18256,n st,39567,10611,-28956,1292870.26,502887.82,-789982.44
maxibrand #9,mattresses,Home,2678,antiable,37542,8598,-28944,1321074.87,397213.94,-923860.93
namelessbrand #10,lighting,Home,12439,ableableable,37791,8847,-28944,1317666.34,468414.57,-849251.77
exportibrand #9,kids,Home,19808,barationese,37266,8348,-28918,1277758.24,428685.39,-849072.85
edu packnameless #5,glassware,Home,18004,priablecally,37655,8748,-28907,1338742.12,369297.12,-969445.00
univnameless #7,flatware,Home,976,ationprianti,39985,11102,-28883,1369263.02,513618.14,-855644.88
importobrand #7,bedding,Home,14476,barn stese,38052,9195,-28857,1400692.53,412944.68,-987747.85
importobrand #5,bedding,Home,11204,barn steing,38259,9418,-28841,1332272.20,404997.10,-927275.10
exportinameless #1,wallpaper,Home,640,callyantiese,39438,10646,-28792,1288589.19,450363.34,-838225.85
amalgnameless #3,accent,Home,5632,priesecally,37884,9120,-28764,1230994.67,392130.16,-838864.51
corpbrand #4,rugs,Home,8233,priought,36726,7985,-28741,1298315.82,354160.67,-944155.15
exportinameless #5,wallpaper,Home,8774,eseeing,38105,9380,-28725,1323717.37,438378.01,-885339.36
corpbrand #5,rugs,Home,19744,oughteingought,38077,9355,-28722,1255044.20,423996.63,-831047.57
scholarbrand #9,blinds/shades,Home,19348,callyationanti,38502,9805,-28697,1359047.41,409754.40,-949293.01
