item_id,sale_ratio,store_quantity,store_wholesale_cost,store_sales_price,other_quantity,total_wholesale_cost,total_sales_price
15272,2.0,2,169.72,58.09,1,6.18,5.33
8459,2.0,2,138.32,58.88,1,76.84,173.64
305,2.0,2,114.19,31.82,1,70.40,33.74
2717,2.0,2,133.77,95.96,1,95.39,127.32
9188,2.0,2,89.58,123.80,1,65.67,50.90
12026,2.0,2,118.83,75.32,1,5.15,0.78
23239,2.0,2,123.20,126.10,1,60.95,53.49
7247,2.0,2,115.70,49.39,1,46.26,7.05
19327,2.0,2,107.59,101.98,1,40.54,45.31
11725,2.0,2,184.36,75.03,1,19.22,34.31
13616,2.0,2,89.59,112.18,1,87.80,8.53
3260,2.0,2,69.43,17.35,1,98.63,23.76
14795,2.0,2,119.94,32.51,1,67.63,123.78
3938,2.0,2,81.15,50.93,1,51.00,10.78
9758,2.0,2,110.62,72.24,1,22.42,7.75
20840,2.0,2,80.21,40.91,1,75.65,88.09
12707,2.0,2,59.78,55.28,1,46.36,66.08
23189,2.0,2,109.73,42.00,1,91.13,16.13
6121,2.0,2,49.85,18.23,1,12.95,17.77
20213,2.0,2,99.25,91.90,1,75.36,13.74
7358,2.0,2,43.49,41.17,1,75.33,106.21
35,2.0,2,56.10,24.41,1,55.73,69.44
4883,2.0,2,26.15,26.40,1,7.38,0.15
16619,2.0,2,105.77,78.73,1,63.10,44.80
15715,2.0,2,100.30,101.18,1,57.25,8.67
5539,2.0,2,191.61,176.30,1,43.04,59.71
2186,2.0,2,90.24,75.34,1,93.70,245.73
18179,2.0,2,99.63,109.34,1,99.15,137.26
13781,2.0,2,175.58,189.39,1,64.15,21.55
3608,2.0,2,20.31,4.05,1,17.25,5.58
4237,2.0,2,94.33,52.12,1,35.16,36.51
20789,2.0,2,120.55,111.55,1,5.68,2.42
17888,2.0,2,82.27,38.89,1,22.15,32.55
20239,2.0,2,77.17,74.63,1,53.17,21.94
3461,2.0,2,163.02,63.82,1,25.88,27.20
1457,2.0,2,120.88,46.59,1,56.96,2.48
18181,2.0,2,27.98,34.94,1,77.67,6.17
22439,2.0,2,136.77,44.23,1,14.07,15.70
61,2.0,2,48.96,42.79,1,74.17,30.97
17306,2.0,2,165.09,71.94,1,15.69,22.80
3035,2.0,2,153.64,165.17,1,24.13,35.02
18920,2.0,2,119.87,151.51,1,93.84,47.46
13223,2.0,2,162.79,137.85,1,38.38,24.60
19412,2.0,2,174.83,166.95,1,7.98,2.29
1742,2.0,2,167.27,106.40,1,7.13,9.99
19465,2.0,2,56.34,37.43,1,21.09,28.94
