channel,channel_sk,total_sales,total_net_profit
catalog,109,273426.76,-64190.76
catalog,110,379607.47,-23007.66
catalog,111,344526.22,-1451.81
catalog,112,289418.86,-60804.02
catalog,113,250689.08,-50219.06
catalog,114,399015.29,-23921.32
catalog,115,279705.73,-52636.86
catalog,116,359096.91,-25223.52
catalog,117,363574.64,-5013.35
catalog,118,398413.57,-52589.71
catalog,119,242397.52,-38801.55
catalog,120,323576.26,-18989.64
catalog,121,348871.41,-29831.37
catalog,122,366442.48,-10864.29
catalog,123,222376.96,-54842.17
catalog,124,319048.22,-68313.58
catalog,125,256875.90,-22177.39
catalog,126,352696.15,-20596.43
catalog,127,334832.80,-77099.04
catalog,128,315404.83,-39624.38
catalog,129,361188.65,-31249.62
catalog,130,316191.25,-11288.58
catalog,131,277114.29,-14822.92
catalog,132,342090.66,-18689.13
catalog,133,306583.37,-44489.50
catalog,134,296647.84,-19420.44
catalog,135,362264.36,-47834.23
catalog,136,327130.88,-71689.99
catalog,137,278200.85,-46223.39
catalog,138,295532.29,-43888.43
catalog,139,317625.89,10123.92
catalog,140,301327.26,-17589.10
catalog,141,318309.91,14526.20
catalog,142,317229.61,-4706.07
catalog,143,270964.44,-82634.75
catalog,144,314205.38,-14975.25
catalog,145,350542.76,-12634.75
catalog,146,395224.56,9882.85
catalog,147,296444.71,-49981.34
catalog,148,277694.69,-53019.17
catalog,149,342518.79,-16995.49
catalog,150,403948.07,21578.88
catalog,151,209745.25,-54963.87
catalog,152,262427.16,-41057.05
catalog,153,304849.58,-60180.76
catalog,154,359795.62,-37106.04
catalog,155,280849.83,-58464.49
catalog,156,285977.67,-11728.23
catalog,157,343219.32,-68093.40
catalog,158,355845.87,-5144.08
catalog,159,311198.82,-32618.45
catalog,160,302486.33,-42229.80
catalog,161,377351.58,32863.54
catalog,162,343866.15,-22650.78
catalog,163,293064.42,-42255.24
catalog,164,305852.75,-11568.90
catalog,165,373271.46,-27648.34
catalog,166,414100.80,-3908.34
catalog,167,244555.35,-85740.99
catalog,168,344689.54,-46355.37
catalog,169,313720.95,-14150.55
catalog,170,322110.80,-42310.63
catalog,171,297144.79,-14330.97
catalog,172,338208.22,3372.65
catalog,173,321029.46,-48766.49
catalog,174,373106.01,-33840.54
catalog,175,308124.87,-22641.55
catalog,176,265795.53,-46312.55
catalog,177,327084.84,-24401.72
catalog,178,260748.38,-38841.90
catalog,179,225942.14,-59997.31
catalog,180,313832.29,-196.80
catalog,181,312666.23,-11533.16
catalog,182,343873.23,7835.46
catalog,183,326020.15,-45350.72
catalog,184,296901.29,-28365.10
catalog,185,329310.68,-44720.23
catalog,186,266658.58,-73901.07
catalog,187,338576.90,-44426.11
catalog,188,309247.90,-42499.90
catalog,189,273244.60,12495.78
catalog,190,329820.59,-14500.60
catalog,191,300856.23,-24726.51
catalog,192,309649.19,-39208.08
catalog,193,300634.42,-60346.53
catalog,194,289161.14,-70092.56
catalog,195,325324.41,-40337.97
catalog,196,281535.36,-32024.57
catalog,197,247076.85,-45462.88
catalog,198,379128.96,-242.21
catalog,199,340492.18,-16437.12
catalog,200,367965.63,-46453.18
catalog,201,317983.56,-18827.65
catalog,202,295603.04,-19115.76
catalog,203,344408.07,-43816.45
catalog,204,361160.12,24873.59
catalog,205,253017.23,-36938.80
catalog,206,357209.99,-22231.93
catalog,207,267015.05,-49931.79
catalog,208,308340.57,-74527.19
