reason_desc,average_sales_quantity,average_refunded_cash,average_return_fee
Did not fit,38.66712454212454,593.7436610486891,49.72224097515237
Did not get it on ti,38.02777777777778,611.8545417925478,51.498463501786624
Did not like the col,37.86427532719341,626.1727908137793,49.545415
Did not like the mak,37.70856011875309,636.4661779575329,49.75657258064516
Did not like the mod,38.111374407582936,642.8842307692307,52.44519128329298
Did not like the war,37.883548067393455,612.4350203873598,50.353778684344725
Does not work with a,37.768181818181816,671.4772900566718,51.01260734609416
Found a better exten,38.11697926949655,601.1668291457287,51.28792233988906
Found a better price,37.44843049327354,733.5092018301983,51.46752040816327
Gift exchange,37.41985815602837,615.2105962190984,49.853014098201264
Lost my job,38.024310425432446,588.1238905038759,51.12458313253012
No service location ,36.43617021276596,619.5259960649287,50.68255802469136
Not the product that,37.118032786885244,606.6946762589928,49.87180375180375
Not working any more,38.204494382022474,608.0334473197781,52.08144894204232
Package was damaged,37.209045226130655,612.4361633281973,50.63322990844354
Parts missing,38.21645021645022,555.9032974032338,50.97682555282555
Stopped working,38.270310932798395,604.4081636828645,50.12272913466462
Wrong size,36.88137254901961,698.9966382765531,49.76362362362362
duplicate purchase,38.228338430173295,645.6919115323855,48.625028810895756
it is a girl,36.45388974755281,566.0349236440231,49.429367422245654
its is a boy,37.04679208876025,598.8365738438588,50.36051792828685
reason 23,37.87789266371246,633.5719328585961,50.900035371399696
reason 24,37.99339430894309,679.6701818181818,50.871853201457576
reason 25,36.79747450218553,703.9483962264151,51.437625434674615
reason 26,37.48383838383838,557.9040815273478,50.4155923435075
reason 27,36.75760598503741,570.8670957932084,49.119126659856995
reason 28,36.95224312590449,623.3652996070726,50.82049975502205
reason 29,37.81061343719571,693.7942204568023,50.92284863523573
reason 31,38.64334774866446,670.3353633037115,50.03757836990596
reason 32,36.99152991000529,672.3136675603217,51.07066450567261
reason 33,38.52591847005536,597.4903060165975,51.021728074727555
reason 34,37.54623450905624,659.7170453437348,51.21157121879589
reason 35,38.16658354114713,636.2339327559857,49.89507394186639
unauthoized purchase,37.446798493408664,557.6220537428023,49.728760806916426
