i_item_sk,i_item_desc,i_category,i_class,i_current_price,item_class_revenue,total_revenue,revenue_ratio
397,"Open, real terms should avoid discussions. Just obvious adults will say strong, poor drawings. Very chains would allow never in the agencies; young, other funds allow",Books,arts,2.72,1300.81,16120747.15,8.069166943047053e-05
537,Results might swing difficulties. Even related years sha,Books,arts,6.17,1194.72,16120747.15,7.411070894440522e-05
894,"Large pp. form. For instance great appeals would not fit in particular fully local police. Subject, correct",Books,arts,7.39,1111.21,16120747.15,6.89304279547614e-05
1029,Different parties obtain insects. Too royal me,Books,arts,1.09,1090.18,16120747.15,6.762589784804112e-05
1800,"Professional, biological models would not talk just. Parts identify companies. Pack",Books,arts,0.54,1126.02,16120747.15,6.984911986539036e-05
3108,"Powerfully consistent firms want less social, russian countries. Often positive u",Books,arts,0.65,965.59,16120747.15,5.989734787199364e-05
3264,"Past, digital animals demonstrate now military, alive assets. Symptoms cannot give certainly the",Books,arts,4.10,1711.38,16120747.15,0.00010616009196571265
3684,"Central affairs will come new, base changes. All but just men like gradually rigid sides. At all linear neighbours could provide years. Other, real police may not bring as practical, human miles. Du",Books,arts,19.32,1310.59,16120747.15,8.129834106355299e-05
4068,"Only mammals conduct languages. General, concerned lips get. Artists should take scottish, attractive threats. Quickly false planes should help in a words. Players review quickly iso",Books,arts,2.87,1411.56,16120747.15,8.75616984042827e-05
5017,Great signals must want developers. Also confident leve,Books,arts,1.20,1293.49,16120747.15,8.023759618362353e-05
5263,Across long rela,Books,arts,0.45,1619.13,16120747.15,0.00010043765248188264
5413,"Others must help. Really different goods take more early, recent facts. Variations understand miners. Important regions sort too. High children give roug",Books,arts,9.76,1712.99,16120747.15,0.00010625996326727325
6672,Rather encouraging ec,Books,arts,6.34,1428.41,16120747.15,8.860693531813133e-05
7074,"Students take much indeed young resources. New, sexual parents hate low by a businesses. Integrate",Books,arts,1.54,1251.18,16120747.15,7.761302800410216e-05
7189,Clinical families cope international newspapers. Again essential principles may not define usually current written books. There poli,Books,arts,4.78,950.59,16120747.15,5.896686990714323e-05
7581,"Others could linger different, single purposes. Fully long lips will operate happy, exciting parents. Pieces measure always. Affairs describe. Rapid suggestions could work later for",Books,arts,5.58,1479.56,16120747.15,9.177986517827122e-05
8947,"Bright, happy seconds slow available men; tensions see so mountains. Wo",Books,arts,4.23,1197.78,16120747.15,7.43005264492347e-05
9073,"Visible,",Books,arts,3.88,1774.08,16120747.15,0.00011004948985878734
9619,"Systematically golden pupils can continue for instance over a cells. Other members assign often so-called, present farmers. British differences gain often",Books,arts,2.74,1734.62,16120747.15,0.00010760171249258753
10789,"Here costly books must not correct thus necessary patterns. Other, monetary lovers can convey urgent blocks. Tomorrow recent years woul",Books,arts,2.44,1165.41,16120747.15,7.229255500108753e-05
11169,J,Books,arts,76.12,1770.33,16120747.15,0.00010981687036757473
11767,"Often frequent talks must judge now highly free years. Men match defiantly lovely, good clothes. Hours write also men. Children might not prefer apa",Books,arts,37.98,883.12,16120747.15,5.4781580021246096e-05
12835,"Already similar lives take perhaps certain islands. Past thin facts find countries. Initial, steep shoulders ought to suggest concerned, hot references. Suitable",Books,arts,7.18,1104.80,16120747.15,6.853280370444864e-05
13227,Already great premises use,Books,arts,0.22,1651.60,16120747.15,0.00010245182711646215
13329,"Legitimate, visual applications install preliminary processes. Old patterns impress really economic, careful hopes; further extreme things believe political, other ",Books,arts,1.52,833.70,16120747.15,5.171596528638563e-05
13683,"Right, wide hours give far dreams. Soon general experiences could not look. Different",Books,arts,1.16,1854.73,16120747.15,0.00011505235971646637
13767,"Extra topics win individual, medical arms; good types might alter between a creatures. Future years follow only. Fashio",Books,arts,4.21,960.01,16120747.15,5.955121006906928e-05
14161,Still left years require even. Di,Books,arts,2.58,1326.34,16120747.15,8.227534292664592e-05
14304,"Chairs imagine objective, rich stages. French friends reduce flat public walls. Human teachers ought to take",Books,arts,8.43,1350.57,16120747.15,8.377837499920095e-05
14532,"Females mention personal, different techniques. Finally whole programmes would not run electric, vocational forms. Economically technical obligations could not give early members. Universal grounds",Books,arts,5.87,1325.76,16120747.15,8.223936444533838e-05
14718,"Mild, grey branches exist emot",Books,arts,0.66,1300.55,16120747.15,8.067554114574645e-05
15295,Strong budgets shall not take small costs; police used to show also twice miserable fields,Books,arts,9.00,1482.96,16120747.15,9.199077351697064e-05
15546,"Most short things hide. Sales can publish objects; maximum years arrange hence international, prime banks; scientists would need others. ",Books,arts,0.46,1345.89,16120747.15,8.348806587416762e-05
15594,"Palestinian, strong arts help never mature rights. Loyal situations take likely bones. Weapons should go. Increased devices shall not appear there. Then simple dishes ",Books,arts,1.91,2117.42,16120747.15,0.00013134751015556994
16113,"Backwards available cards make polls; other, only men would not save sometimes previously young legs. Necessary bodies buy miserable, new girls. Movements land in common ",Books,arts,1.48,1854.19,16120747.15,0.00011501886250973176
16782,"Economic, surprised specimens disappear. True teachers force even. Local, little figures go. Developments could not realize feet. Careful, likely grounds prod",Books,arts,0.71,1057.81,16120747.15,6.561792639989394e-05
16848,High cars see developments. F,Books,arts,4.75,1384.78,16120747.15,8.59004850777031e-05
17193,"Possible, odd police put as children; poor shoulders want however ",Books,arts,2.82,1459.86,16120747.15,9.055783745110101e-05
17244,"Old stores see once more contracts. Years might become only late collective responses. Public, different costs might greet eagerly particularly well-known witnesses. Periods become then short ban",Books,arts,2.85,1073.21,16120747.15,6.65732171104737e-05
17388,"Lads might remain fields. As democratic policies love clearly free arts. New, significant rates will not warn straight rules. Then contemporary la",Books,arts,7.67,1039.86,16120747.15,6.450445443528961e-05
17460,Areas prevent from a trees. Intense friends should know often instead common eyes. Thus substantial steps influence particularly with a ,Books,arts,4.97,1317.59,16120747.15,8.173256411381651e-05
18072,Problems will not work newly for a features. Studies get moreover most unable patients. Cautious fact,Books,arts,4.83,1131.89,16120747.15,7.021324690896849e-05
18301,"Important, different weeks warn to the fa",Books,arts,4.04,1136.67,16120747.15,7.050975922043415e-05
18744,"Labour failures seize maybe european, special women. Then theoretical items used to get wi",Books,arts,0.90,931.33,16120747.15,5.777213620027531e-05
18786,"Universities may get teams. Neighbouring, voluntary children cannot see abroad given charges. Pictures communicate of course very satisfactory properties. Ties wo",Books,arts,0.93,839.14,16120747.15,5.20534186283047e-05
19107,"Old months say good, social chapters. Bad, superior practices wish completely in a women. Animals feed today good parties. Others will not come old, new machines; hours ",Books,arts,12.27,1494.72,16120747.15,9.272026824141337e-05
19143,E,Books,arts,7.45,1062.70,16120747.15,6.592126221643518e-05
19347,Basic offices worry too grounds. Organisations pay as severe facilities. Animals will live. Broken generations might receive g,Books,arts,7.10,1777.88,16120747.15,0.00011028521094321612
19713,"Pieces will not identify very very supposed interests. Subtle, other judges shall train formal, other officials. Forward important images might steal serious, above numbers. Acutely impressive g",Books,arts,6.50,1205.62,16120747.15,7.478685626552985e-05
19740,"Always international problems should not miss local, various funds. Situations look times. Grand studies happen completely other members. Links want critical, popular cards. In order responsible group",Books,arts,2.03,1641.08,16120747.15,0.00010179925190378039
20503,"Great, fast conditions fade sales. Enough bottom men change too political, internat",Books,arts,46.43,1190.72,16120747.15,7.386258148711178e-05
20619,"Altogether great societies should expect natural eggs. Cells study best scholars. Important, foreign walls take key suppliers. Today local forms take. Limitations m",Books,arts,2.16,1054.83,16120747.15,6.543307144421032e-05
20679,Rare societies feed also; further small patients must come living,Books,arts,4.74,1739.77,16120747.15,0.00010792117659385285
20719,Centres could distinguish in a sessions. Detailed proc,Books,arts,4.09,1383.52,16120747.15,8.582232492865567e-05
20904,"Ideal, atomic prisoners talk; limited, level causes should smoke. Es",Books,arts,1.81,1260.61,16120747.15,7.819798848467143e-05
21222,Both human stories used to s,Books,arts,1.85,1043.61,16120747.15,6.473707392650221e-05
21325,Margins begin never. Loc,Books,arts,4.33,1480.86,16120747.15,9.186050660189159e-05
21918,"Underway exact miners use men; recent, european travellers tell still defensive, large bills; dead, old crews look. Central women would remain rather than a sports. Direct, great m",Books,arts,2.59,1505.41,16120747.15,9.338338887103009e-05
21985,"Also russian bodies might wear; old, silly passages can matter new rules. Years catch again to a patients. Easily particular ty",Books,arts,9.66,946.15,16120747.15,5.869144842954751e-05
22569,"Strong ways could take upwards single, scottish inches. Medieval, new flowers might hear. Eventually likel",Books,arts,4.90,1149.73,16120747.15,7.131989536849724e-05
22825,"Even dry creatures use normal, fresh years. Splendid practices recognise instinctively national resources. Probably proud accounts would pr",Books,arts,1.79,1061.01,16120747.15,6.581642836572869e-05
23130,Cattle might get in the ,Books,arts,6.99,1747.14,16120747.15,0.00010837835143391602
23163,Miles take slo,Books,arts,0.22,1942.06,16120747.15,0.00012046960242782543
23293,"Wrong, abs",Books,arts,2.59,1438.16,16120747.15,8.92117459952841e-05
23343,"Teeth write later; today white holidays obtain more new, northern cont",Books,arts,8.49,1523.03,16120747.15,9.447639032040769e-05
23961,"Changes know totally white bones. Stories must show less theoretical weeks. Continental, international games ought to explain just in a",Books,arts,2.07,903.09,16120747.15,5.602035635178361e-05
39,"International, substantial schools mean effectively. Users put then in a operations. Particul",Books,business,5.07,1606.07,16120747.15,9.962751633381955e-05
324,Normally local representatives deal again colours. Endless g,Books,business,0.83,948.51,16120747.15,5.883784362935064e-05
891,"Exceptional, new glasses shall dwell broken, full options. Normally english championships happen more in a accounts. Precise, possible weeks go",Books,business,1.81,1510.90,16120747.15,9.372394380616534e-05
912,Entirely legislative tests might not make helplessly suppliers. Things pick certain types. Very public countries see now days; aspects f,Books,business,3.96,821.98,16120747.15,5.098895183651584e-05
1098,"Possible, british clubs ought to adopt immediately conservative teeth. Also possible findings see away shoes; current, practical tales could not read enoug",Books,business,0.93,1438.09,16120747.15,8.920740376478146e-05
1339,Dramatically particular charts used to boost unusually false organisers. I,Books,business,3.68,812.99,16120747.15,5.043128537624883e-05
1467,"Intermediate, wild owners take from an lands. Political, long planes persuade over agencies. So endless firms begin stores. True events ma",Books,business,8.92,1183.63,16120747.15,7.342277556905916e-05
1497,"Then provincial councils used to prevent still local, sensible roles. Private colleges must hide normally produ",Books,business,9.83,1728.06,16120747.15,0.0001071947834626263
2431,Actual kids take closer; affairs should stay after a prices. Young tiles remove meanwhile there possible reasons. Politicians cannot,Books,business,6.64,1465.75,16120747.15,9.092320513196561e-05
3391,"Continuous, responsible households like mo",Books,business,5.20,1402.44,16120747.15,8.699596780165367e-05
3828,Different problems will not cover often with a regions. Reportedly religious lives may not hast,Books,business,9.11,930.98,16120747.15,5.775042504776213e-05
4164,"Underground agricultural exchanges suppose other, parliamentary pupils. Central, regular products must not worry forward quickly ",Books,business,6.66,1479.43,16120747.15,9.177180103590918e-05
4221,"Wrong shops make stations. Prices become hence existing, effective pressures. Good posts may not see so in order black examples. Diplomatic, fine colours might see still dead brothers; strong, ",Books,business,0.71,1151.60,16120747.15,7.143589495478191e-05
4459,"Members can crack far conditions. Likely, large students put with a shops; wild r",Books,business,1.94,1229.39,16120747.15,7.626135368049614e-05
4621,"Just, level colleag",Books,business,2.95,1388.08,16120747.15,8.61051902299702e-05
4975,"Living, c",Books,business,0.60,1251.81,16120747.15,7.765210807862586e-05
5289,"Feelings see polite, poor novels; indeed current answers could grow high colleagues. Moving packages can tackle much so national levels; old eyes explain just unlike the authorities. O",Books,business,3.27,907.65,16120747.15,5.630322165309813e-05
5727,"Fat, prof",Books,business,1.18,1707.49,16120747.15,0.00010591878801349477
