channel,key_column,year,quarter,item_category,total_sales_count,total_sales_amount
catalog,1,1998,1,Books,12448,628904.38
catalog,1,1998,1,Children,12848,649978.65
catalog,1,1998,1,Electronics,13003,654012.69
catalog,1,1998,1,Home,13006,667592.16
catalog,1,1998,1,Jewelry,12923,654794.51
catalog,1,1998,1,Men,13098,660314.58
catalog,1,1998,1,Music,13869,694797.60
catalog,1,1998,1,Shoes,13347,671380.14
catalog,1,1998,1,Sports,13138,663700.14
catalog,1,1998,1,Women,12740,648145.72
catalog,1,1998,1,,386,18978.78
catalog,1,1998,2,Books,12741,647926.94
catalog,1,1998,2,Children,12811,636608.16
catalog,1,1998,2,Electronics,13086,657574.98
catalog,1,1998,2,Home,12990,665388.71
catalog,1,1998,2,Jewelry,13143,661457.76
catalog,1,1998,2,Men,13302,663576.67
catalog,1,1998,2,Music,13797,702830.14
catalog,1,1998,2,Shoes,13075,650874.12
catalog,1,1998,2,Sports,13133,653948.21
catalog,1,1998,2,Women,13272,663915.95
catalog,1,1998,2,,388,19466.51
catalog,1,1998,3,Books,24036,1215827.90
catalog,1,1998,3,Children,24011,1213388.27
catalog,1,1998,3,Electronics,24135,1218097.25
catalog,1,1998,3,Home,24397,1234013.53
catalog,1,1998,3,Jewelry,24306,1218753.06
catalog,1,1998,3,Men,24643,1230205.27
catalog,1,1998,3,Music,25630,1300093.26
catalog,1,1998,3,Shoes,25440,1282925.18
catalog,1,1998,3,Sports,24642,1245076.00
catalog,1,1998,3,Women,24511,1224105.67
catalog,1,1998,3,,772,38270.72
catalog,1,1998,4,Books,39377,1983740.41
catalog,1,1998,4,Children,39289,1976412.00
catalog,1,1998,4,Electronics,39748,1988432.32
catalog,1,1998,4,Home,39461,2002479.89
catalog,1,1998,4,Jewelry,39870,2032892.51
catalog,1,1998,4,Men,40878,2069914.37
catalog,1,1998,4,Music,41613,2094206.31
catalog,1,1998,4,Shoes,41312,2079053.43
catalog,1,1998,4,Sports,40175,2031167.23
catalog,1,1998,4,Women,39835,1987714.16
catalog,1,1998,4,,1144,57967.03
catalog,1,1999,1,Books,12705,638406.90
catalog,1,1999,1,Children,12616,635856.73
catalog,1,1999,1,Electronics,12964,655680.94
catalog,1,1999,1,Home,12737,640509.29
catalog,1,1999,1,Jewelry,12985,657437.06
catalog,1,1999,1,Men,13310,680438.49
catalog,1,1999,1,Music,13570,690138.73
catalog,1,1999,1,Shoes,13224,672604.39
catalog,1,1999,1,Sports,12991,656937.09
catalog,1,1999,1,Women,12919,650657.48
catalog,1,1999,1,,377,18359.95
catalog,1,1999,2,Books,13003,654496.43
catalog,1,1999,2,Children,12891,654925.29
catalog,1,1999,2,Electronics,12933,644533.58
catalog,1,1999,2,Home,12927,654784.74
catalog,1,1999,2,Jewelry,13188,671174.25
catalog,1,1999,2,Men,13384,670488.20
catalog,1,1999,2,Music,13917,705032.28
catalog,1,1999,2,Shoes,13362,674630.11
catalog,1,1999,2,Sports,13206,670350.60
catalog,1,1999,2,Women,13062,653801.40
catalog,1,1999,2,,433,21866.26
catalog,1,1999,3,Books,24024,1208627.46
catalog,1,1999,3,Children,23820,1196873.77
catalog,1,1999,3,Electronics,24243,1223724.12
catalog,1,1999,3,Home,24230,1219583.20
catalog,1,1999,3,Jewelry,24301,1221925.87
catalog,1,1999,3,Men,25107,1257581.55
catalog,1,1999,3,Music,25530,1294616.85
catalog,1,1999,3,Shoes,24915,1275031.54
catalog,1,1999,3,Sports,24711,1244576.53
catalog,1,1999,3,Women,24314,1226258.93
catalog,1,1999,3,,700,37259.76
catalog,1,1999,4,Books,39497,1991562.74
catalog,1,1999,4,Children,38945,1954588.36
catalog,1,1999,4,Electronics,39513,2002860.11
catalog,1,1999,4,Home,39227,1992874.17
catalog,1,1999,4,Jewelry,39836,2004584.12
catalog,1,1999,4,Men,40776,2053225.56
catalog,1,1999,4,Music,41568,2092001.66
catalog,1,1999,4,Shoes,41164,2076476.17
catalog,1,1999,4,Sports,40224,2022670.19
catalog,1,1999,4,Women,39660,2008545.91
catalog,1,1999,4,,1199,61238.89
catalog,1,2000,1,Books,13387,680105.61
catalog,1,2000,1,Children,13162,657106.93
catalog,1,2000,1,Electronics,12690,652063.52
catalog,1,2000,1,Home,12874,651123.47
catalog,1,2000,1,Jewelry,13147,661550.76
catalog,1,2000,1,Men,13304,663716.13
catalog,1,2000,1,Music,13276,670679.13
catalog,1,2000,1,Shoes,13381,668455.13
catalog,1,2000,1,Sports,12437,619682.82
catalog,1,2000,1,Women,13413,672360.71
catalog,1,2000,1,,357,19334.10
catalog,1,2000,2,Books,13334,671448.04
