('30001', Decimal('2523.72'))
('30008', Decimal('3742.49'))
('30026', Decimal('3999.18'))
('30049', Decimal('179.35'))
('30059', Decimal('96009.90'))
('30069', Decimal('98357.34'))
('30116', Decimal('5255.68'))
('30125', Decimal('4001.95'))
('30141', Decimal('4168.70'))
('30150', Decimal('79320.91'))
('30156', Decimal('254.43'))
('30162', Decimal('91391.99'))
('30164', Decimal('1821.01'))
('30169', Decimal('82471.69'))
('30191', Decimal('86168.22'))
('30194', Decimal('1808.74'))
('30204', Decimal('802.58'))
('30216', Decimal('4301.65'))
('30238', Decimal('413.11'))
('30262', Decimal('3563.25'))
('30268', Decimal('2447.16'))
('30275', Decimal('810.10'))
('30278', Decimal('1184.63'))
('30296', Decimal('3011.34'))
('30302', Decimal('4183.39'))
('30309', Decimal('5387.62'))
('30317', Decimal('714.23'))
('30319', Decimal('2412.45'))
('30336', Decimal('416.79'))
('30344', Decimal('4339.09'))
('30348', Decimal('272.25'))
('30369', Decimal('5031.78'))
('30382', Decimal('865.39'))
('30399', Decimal('87979.85'))
('30408', Decimal('3554.53'))
('30411', Decimal('93417.25'))
('30418', Decimal('3805.11'))
('30419', Decimal('4085.51'))
('30451', Decimal('4875.46'))
('30492', Decimal('4327.12'))
('30499', Decimal('88729.44'))
('30519', Decimal('2099.33'))
('30525', Decimal('4485.52'))
('30534', Decimal('91161.03'))
('30540', Decimal('5717.28'))
('30573', Decimal('9294.25'))
('30580', Decimal('738.29'))
('30587', Decimal('93423.20'))
('30589', Decimal('6583.71'))
('30618', Decimal('1767.61'))
('30631', Decimal('7311.78'))
('30634', Decimal('4145.93'))
('30635', Decimal('1950.42'))
('30636', Decimal('474.03'))
('30725', Decimal('2302.03'))
('30732', Decimal('2338.34'))
('30744', Decimal('4674.31'))
('30766', Decimal('5507.17'))
('30852', Decimal('5870.21'))
('30854', Decimal('2845.92'))
('30894', Decimal('3100.55'))
('30899', Decimal('4831.91'))
('30913', Decimal('4593.99'))
('30919', Decimal('4810.04'))
('30945', Decimal('527.46'))
('30965', Decimal('6474.71'))
('30974', Decimal('404.06'))
('31075', Decimal('3583.46'))
('31083', Decimal('1924.44'))
('31087', Decimal('75215.07'))
('31135', Decimal('199.96'))
('31143', Decimal('4098.63'))
('31147', Decimal('3416.20'))
('31150', Decimal('1189.12'))
('31160', Decimal('5233.69'))
('31187', Decimal('1249.46'))
('31201', Decimal('2467.22'))
('31204', Decimal('3666.93'))
('31206', Decimal('1772.29'))
('31209', Decimal('5177.93'))
('31216', Decimal('6066.98'))
('31218', Decimal('4335.05'))
('31229', Decimal('4620.09'))
('31289', Decimal('98405.73'))
('31294', Decimal('852.71'))
('31338', Decimal('423.69'))
('31387', Decimal('86810.81'))
('31398', Decimal('4676.77'))
('31400', Decimal('578.80'))
('31403', Decimal('872.93'))
('31409', Decimal('3802.77'))
('31422', Decimal('203.66'))
('31423', Decimal('2697.93'))
('31495', Decimal('719.02'))
('31513', Decimal('457.06'))
('31521', Decimal('76721.40'))
('31523', Decimal('462.67'))
('31529', Decimal('3978.37'))
('31545', Decimal('4957.57'))
('31564', Decimal('414.82'))
