('00669', 'Edgewood', Decimal('99.43'))
('04111', 'Glenwood', Decimal('52.26'))
('08971', 'Oak Ridge', Decimal('162.40'))
('09548', 'Siloam', Decimal('86.63'))
('09727', 'Mount Vernon', Decimal('32.40'))
('11749', 'Newtown', Decimal('3.69'))
('13683', 'Plainview', Decimal('23.28'))
('16098', 'Five Points', Decimal('38.07'))
('16971', 'Wilson', Decimal('25.96'))
('18059', 'Mount Olive', Decimal('85.71'))
('19431', 'New Hope', Decimal('25.59'))
('19532', 'Lakeside', Decimal('91.94'))
('19584', 'Oakdale', Decimal('37.62'))
('20150', 'Bunker Hill', Decimal('82.26'))
('20162', 'Stringtown', Decimal('8.90'))
('21711', 'Unionville', Decimal('93.30'))
('21904', 'Midway', Decimal('104.40'))
('24244', 'Ashland', Decimal('19.16'))
('26668', 'White Oak', Decimal('20.61'))
('28014', 'Clifton', Decimal('38.99'))
('28579', 'Lakeview', Decimal('3.31'))
('28605', 'Antioch', Decimal('234.32'))
('29843', 'Oakland', Decimal('7.33'))
('30069', 'Edgewood', Decimal('46.40'))
('30169', 'Oakwood', Decimal('52.33'))
('31675', 'Waterloo', Decimal('181.32'))
('31749', 'Newtown', Decimal('115.87'))
('31757', 'Enterprise', Decimal('11.12'))
('32455', 'Wolf Creek', Decimal('67.26'))
('33003', 'Hillcrest', Decimal('157.50'))
('33511', 'Glenwood', Decimal('2.96'))
('33951', 'Glendale', Decimal('59.19'))
('34098', 'Woodlawn', Decimal('27.00'))
('34536', 'Friendship', Decimal('4.06'))
('34975', 'Red Bank', Decimal('65.27'))
('34980', 'Stafford', Decimal('25.60'))
('35281', 'Bethel', Decimal('39.58'))
('35817', 'Bridgeport', Decimal('70.67'))
('35817', None, Decimal('3.13'))
('36060', 'Spring Valley', Decimal('8.64'))
('36787', 'Spring Hill', Decimal('181.56'))
('36787', None, Decimal('49.29'))
('36867', 'Jamestown', Decimal('108.91'))
('36971', 'Wilson', Decimal('3.72'))
('37746', 'Union Hill', Decimal('82.58'))
('38721', 'Union', Decimal('192.48'))
('38877', 'Lakewood', Decimal('18.21'))
('39003', 'Riverview', Decimal('20.00'))
('39584', 'Oakdale', Decimal('18.85'))
('40029', 'Afton', Decimal('1.11'))
('40191', 'Belmont', Decimal('12.47'))
('40534', 'Crossroads', Decimal('42.62'))
('40587', 'Hopewell', Decimal('67.78'))
('41387', 'Greenville', Decimal('8.56'))
('44136', 'Pleasant Grove', Decimal('70.06'))
('46267', 'White Plains', Decimal('3.71'))
('46534', 'Highland Park', Decimal('1.90'))
('46871', 'Wildwood', Decimal('62.20'))
('48054', 'Mount Zion', Decimal('61.77'))
('48579', 'Lakeview', Decimal('31.75'))
('48877', 'Lakewood', Decimal('1.52'))
('49310', 'Brownsville', Decimal('6.81'))
('49981', 'Pinecrest', Decimal('35.90'))
('51209', 'Rocky Point', Decimal('26.47'))
('51757', 'Enterprise', Decimal('13.68'))
('52812', 'Shady Grove', Decimal('241.25'))
('53003', 'Hillcrest', Decimal('29.47'))
('53394', 'Florence', Decimal('53.34'))
('53511', 'Glenwood', Decimal('36.62'))
('53604', 'Pleasant Hill', Decimal('186.13'))
('54092', 'Buckingham', Decimal('28.59'))
('54136', 'Pleasant Grove', Decimal('53.48'))
('54536', 'Friendship', Decimal('2.29'))
('54593', 'Pine Grove', Decimal('30.30'))
('54975', 'Kingston', Decimal('128.33'))
('56557', 'Arlington', Decimal('45.10'))
('57746', 'Union Hill', Decimal('177.53'))
('58370', 'Oak Grove', Decimal('38.59'))
('58828', 'Greenwood', Decimal('155.09'))
('59101', 'Franklin', Decimal('83.70'))
('59231', 'Riverside', Decimal('115.88'))
('59840', 'Deerfield', Decimal('3.25'))
('59843', 'Oakland', Decimal('232.40'))
('60540', 'Avoca', Decimal('52.15'))
('61749', 'Newtown', Decimal('86.95'))
('61952', 'Sunnyside', Decimal('84.28'))
('62812', 'Shady Grove', Decimal('33.88'))
('63511', 'Glenwood', Decimal('79.54'))
('64107', 'Concord', Decimal('31.34'))
('64153', 'Pomona', Decimal('1.81'))
('64289', 'Woodville', Decimal('39.12'))
('64694', 'Vista', Decimal('35.26'))
('64854', 'Woodland', Decimal('24.68'))
('65717', 'Saint Johns', Decimal('42.66'))
('66614', 'Providence', Decimal('130.22'))
('66867', 'Jamestown', Decimal('8.76'))
('66871', 'Wildwood', Decimal('5.70'))
('67746', 'Union Hill', Decimal('75.93'))
('68054', 'Mount Zion', Decimal('7.36'))
('68222', 'Clinton', Decimal('93.18'))
