(7, datetime.date(2001, 5, 1), Decimal('227.07'), Decimal('46.69'), Decimal('227.07'), Decimal('46.69'))
(7, datetime.date(2001, 5, 3), Decimal('229.82'), None, Decimal('229.82'), Decimal('46.69'))
(7, datetime.date(2001, 5, 5), None, Decimal('227.71'), Decimal('229.82'), Decimal('227.71'))
(11, datetime.date(2001, 5, 3), Decimal('158.18'), None, Decimal('158.18'), Decimal('143.08'))
(11, datetime.date(2001, 5, 6), None, Decimal('143.59'), Decimal('158.18'), Decimal('143.59'))
(11, datetime.date(2001, 5, 7), None, Decimal('143.59'), Decimal('158.18'), Decimal('143.59'))
(11, datetime.date(2001, 5, 8), Decimal('270.37'), Decimal('146.10'), Decimal('270.37'), Decimal('146.10'))
(11, datetime.date(2001, 5, 10), None, Decimal('194.52'), Decimal('270.37'), Decimal('194.52'))
(11, datetime.date(2001, 5, 11), None, Decimal('235.23'), Decimal('270.37'), Decimal('235.23'))
(15, datetime.date(2001, 5, 1), Decimal('40.37'), Decimal('1.37'), Decimal('40.37'), Decimal('1.37'))
(15, datetime.date(2001, 5, 2), None, Decimal('9.44'), Decimal('40.37'), Decimal('9.44'))
(15, datetime.date(2001, 5, 3), Decimal('116.52'), Decimal('69.58'), Decimal('116.52'), Decimal('69.58'))
(15, datetime.date(2001, 5, 4), None, Decimal('97.84'), Decimal('116.52'), Decimal('97.84'))
(15, datetime.date(2001, 5, 7), None, Decimal('109.25'), Decimal('116.52'), Decimal('109.25'))
(15, datetime.date(2001, 5, 8), Decimal('277.74'), None, Decimal('277.74'), Decimal('109.25'))
(15, datetime.date(2001, 5, 9), None, Decimal('121.47'), Decimal('277.74'), Decimal('121.47'))
(15, datetime.date(2001, 5, 11), None, Decimal('131.51'), Decimal('277.74'), Decimal('131.51'))
(15, datetime.date(2001, 5, 12), Decimal('386.65'), Decimal('234.49'), Decimal('386.65'), Decimal('234.49'))
(15, datetime.date(2001, 5, 16), None, Decimal('285.89'), Decimal('386.65'), Decimal('285.89'))
(15, datetime.date(2001, 5, 17), None, Decimal('299.99'), Decimal('386.65'), Decimal('299.99'))
(15, datetime.date(2001, 5, 19), Decimal('487.51'), None, Decimal('487.51'), Decimal('299.99'))
(15, datetime.date(2001, 5, 20), None, Decimal('304.33'), Decimal('487.51'), Decimal('304.33'))
(15, datetime.date(2001, 5, 23), None, Decimal('358.95'), Decimal('487.51'), Decimal('358.95'))
(15, datetime.date(2001, 5, 28), None, Decimal('373.89'), Decimal('487.51'), Decimal('373.89'))
(15, datetime.date(2001, 5, 29), Decimal('602.60'), Decimal('397.34'), Decimal('602.60'), Decimal('397.34'))
(15, datetime.date(2001, 5, 30), None, Decimal('468.21'), Decimal('602.60'), Decimal('468.21'))
(15, datetime.date(2001, 5, 31), None, Decimal('509.04'), Decimal('602.60'), Decimal('509.04'))
(15, datetime.date(2001, 6, 1), None, Decimal('531.84'), Decimal('602.60'), Decimal('531.84'))
(15, datetime.date(2001, 6, 2), None, Decimal('533.41'), Decimal('602.60'), Decimal('533.41'))
(15, datetime.date(2001, 6, 3), Decimal('605.87'), None, Decimal('605.87'), Decimal('533.41'))
(15, datetime.date(2001, 6, 4), None, Decimal('588.31'), Decimal('605.87'), Decimal('588.31'))
(18, datetime.date(2002, 1, 1), Decimal('69.85'), Decimal('35.42'), Decimal('69.85'), Decimal('35.42'))
