('Certainly fede', 662475, 'Oakland', 'Ziebach County', 'SD', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1829804957.00'), Decimal('1621101883.47'), Decimal('1773963654.08'), Decimal('1676126245.64'), Decimal('1849055732.64'), Decimal('1689877195.02'), Decimal('1857048550.77'), Decimal('3949583975.36'), Decimal('3975881347.66'), Decimal('4055133331.06'), Decimal('5947038591.28'), Decimal('6208657124.89'), 2762.0739756217217, 2447.0385802785013, 2677.7820356692705, 2530.0973555832293, 2791.132846733839, 2550.854288871278, 2803.197933159742, 5961.861165115664, 6001.55680993245, 6121.186959598475, 8977.000779319973, 9371.911581403072, Decimal('1576730187.70'), Decimal('1405143245.19'), Decimal('1535277283.18'), Decimal('1478786907.19'), Decimal('1578546002.80'), Decimal('1470182838.79'), Decimal('1578108714.00'), Decimal('3356222897.97'), Decimal('3379278539.91'), Decimal('3525257339.11'), Decimal('5131378675.40'), Decimal('5362917431.83'))
('Conventional childr', 977787, 'Salem', 'Barrow County', 'GA', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1757568025.59'), Decimal('1658486202.11'), Decimal('1751109128.56'), Decimal('1760574665.43'), Decimal('1842438362.24'), Decimal('1697131408.56'), Decimal('1832420143.09'), Decimal('3935697987.91'), Decimal('4023684932.97'), Decimal('4117056894.17'), Decimal('5883678796.35'), Decimal('6262958393.78'), 1797.4957997907518, 1696.1630724380668, 1790.8901719495145, 1800.5707433520797, 1884.294189061626, 1735.6862062596454, 1874.0483797493728, 4025.10770536937, 4115.093504996487, 4210.586655549726, 6017.342014518499, 6405.237944235299, Decimal('1496532963.77'), Decimal('1424479623.20'), Decimal('1528997870.56'), Decimal('1503606458.87'), Decimal('1590270001.78'), Decimal('1469593817.46'), Decimal('1580809526.50'), Decimal('3364046604.70'), Decimal('3476607083.37'), Decimal('3586081508.26'), Decimal('5066723469.75'), Decimal('5413698557.45'))
('Historic, us', 514427, 'Salem', 'Ziebach County', 'SD', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1805562116.17'), Decimal('1586096978.08'), Decimal('1750308038.87'), Decimal('1752728591.69'), Decimal('1798713870.85'), Decimal('1770714855.68'), Decimal('1818821937.92'), Decimal('4035696693.59'), Decimal('3924752074.19'), Decimal('4175886005.40'), Decimal('5846834060.02'), Decimal('6193015647.55'), 3509.850991821969, 3083.2304254636715, 3402.4420158156554, 3407.1473536381254, 3496.538616460645, 3442.1110394283346, 3535.626897344035, 7845.0328104667915, 7629.366409986256, 8117.548272932797, 11365.721589302273, 12038.667580725738, Decimal('1581447470.18'), Decimal('1384150741.06'), Decimal('1545169429.82'), Decimal('1511661277.42'), Decimal('1558072778.86'), Decimal('1533514582.76'), Decimal('1566125093.89'), Decimal('3480025854.04'), Decimal('3404263498.43'), Decimal('3640778282.57'), Decimal('5058774593.53'), Decimal('5358451487.64'))
('Inappropriate, p', 863277, 'New Hope', 'Barrow County', 'GA', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1770619081.62'), Decimal('1742754408.04'), Decimal('1771434997.89'), Decimal('1715270529.28'), Decimal('1834092273.71'), Decimal('1789830455.98'), Decimal('1709674055.07'), Decimal('3935463946.80'), Decimal('3890775062.06'), Decimal('4077720098.67'), Decimal('5873951467.18'), Decimal('6187041747.19'), 2051.0439657491165, 2018.7661759087755, 2051.989104180929, 1986.9294899319684, 2124.5698353019943, 2073.2979750184472, 1980.446664361497, 4558.749910862909, 4506.983346087061, 4723.536128809177, 6804.248772039565, 7166.925271019614, Decimal('1548528577.22'), Decimal('1527823926.14'), Decimal('1550423244.02'), Decimal('1494674644.08'), Decimal('1604177163.08'), Decimal('1543516011.74'), Decimal('1482526631.23'), Decimal('3400562757.71'), Decimal('3350853028.26'), Decimal('3515631677.70'), Decimal('5091294140.25'), Decimal('5385548387.05'))
('Issues live th', 914242, 'Liberty', 'Barrow County', 'GA', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1802954447.10'), Decimal('1607449455.75'), Decimal('1683932994.81'), Decimal('1753250471.27'), Decimal('1817877812.82'), Decimal('1762631808.15'), Decimal('1827033721.83'), Decimal('3883853049.97'), Decimal('3978961600.36'), Decimal('4200876654.22'), Decimal('5988301277.29'), Decimal('6206191388.17'), 1972.0757163858148, 1758.231907689649, 1841.8897784284686, 1917.709393431936, 1988.3989280956243, 1927.9707212641729, 1998.4136824057523, 4248.167388907969, 4352.19733982906, 4594.928535573732, 6550.017694756969, 6788.346398623122, Decimal('1553649697.61'), Decimal('1374573552.23'), Decimal('1444458596.19'), Decimal('1501041395.29'), Decimal('1551417375.41'), Decimal('1495881366.48'), Decimal('1593172587.41'), Decimal('3384968440.01'), Decimal('3445702104.84'), Decimal('3654817101.50'), Decimal('5196576319.05'), Decimal('5406603613.92'))
('New, possib', 73065, 'Oak Grove', 'Ziebach County', 'SD', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1780390767.68'), Decimal('1625244128.54'), Decimal('1727616443.90'), Decimal('1744858009.62'), Decimal('1812288318.32'), Decimal('1750633492.81'), Decimal('1779453449.15'), Decimal('4034691647.56'), Decimal('3834930650.42'), Decimal('4046485940.76'), Decimal('5818894411.90'), Decimal('6230414296.17'), 24367.21778799699, 22243.812065147475, 23644.92498323411, 23880.900699651, 24803.781815096147, 23959.946524464518, 24354.38923082187, 55220.57958749059, 52486.561971121606, 55382.001515910495, 79639.9700526928, 85272.2137298296, Decimal('1539477546.58'), Decimal('1413493200.33'), Decimal('1477422127.53'), Decimal('1499387128.98'), Decimal('1559997706.57'), Decimal('1514431370.03'), Decimal('1543420908.92'), Decimal('3469271367.60'), Decimal('3282676617.64'), Decimal('3505270356.72'), Decimal('5028228629.99'), Decimal('5455105357.30'))
('New, sudden', 418158, 'Centerville', 'Walker County', 'AL', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1810263208.98'), Decimal('1663880350.40'), Decimal('1782271156.13'), Decimal('1766682974.43'), Decimal('1705849198.23'), Decimal('1723862480.35'), Decimal('1806572424.11'), Decimal('3962802503.85'), Decimal('3889971563.06'), Decimal('4134352747.88'), Decimal('5920774840.26'), Decimal('6249070259.36'), 4329.136854920867, 3979.0709502149903, 4262.195524490742, 4224.917314579656, 4079.436955002655, 4122.514648410409, 4320.310562299418, 9476.806622975048, 9302.635757440967, 9887.058833933585, 14159.181075717792, 14944.280055290104, Decimal('1550664328.19'), Decimal('1442103167.92'), Decimal('1560546598.04'), Decimal('1528694043.50'), Decimal('1458170548.42'), Decimal('1483121568.47'), Decimal('1592918571.07'), Decimal('3472510021.65'), Decimal('3387269870.24'), Decimal('3582810065.36'), Decimal('5103917465.93'), Decimal('5391347512.83'))
('Of course ot', 138504, 'Fairview', 'Franklin Parish', 'LA', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1739389356.36'), Decimal('1645935569.07'), Decimal('1702597422.02'), Decimal('1696092273.80'), Decimal('1789349056.36'), Decimal('1678424531.11'), Decimal('1775490626.20'), Decimal('3953940092.28'), Decimal('3936293753.71'), Decimal('4087984049.08'), Decimal('5916089737.54'), Decimal('6136198153.42'), 12558.405218333046, 11883.668118393693, 12292.767154883613, 12245.799932131922, 12919.114656327616, 12118.238687041528, 12819.056678507479, 28547.47943943857, 28420.07273226766, 29515.27789146884, 42714.215744960435, 44303.40028750073, Decimal('1467545591.28'), Decimal('1428825312.80'), Decimal('1459920268.34'), Decimal('1480684696.01'), Decimal('1529307818.00'), Decimal('1460945678.22'), Decimal('1580745028.92'), Decimal('3401577507.57'), Decimal('3339861134.17'), Decimal('3522370619.21'), Decimal('5116368658.23'), Decimal('5258440418.64'))
('Operations wo', 758375, 'Union', 'Franklin Parish', 'LA', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1824826476.80'), Decimal('1665830308.12'), Decimal('1656973618.85'), Decimal('1742632366.20'), Decimal('1865074188.61'), Decimal('1789675334.85'), Decimal('1827165813.77'), Decimal('4025004533.58'), Decimal('4048599398.76'), Decimal('4102673248.21'), Decimal('5839879589.63'), Decimal('6243510333.29'), 2406.2323742211966, 2196.5786162782265, 2184.9001072688316, 2297.8504911158725, 2459.303363916268, 2359.8817667380913, 2409.3170446942477, 5307.406670288446, 5338.519068745673, 5409.821326138124, 7700.51701286303, 8232.748090707104, Decimal('1567819948.51'), Decimal('1454811755.22'), Decimal('1424719429.90'), Decimal('1520194824.68'), Decimal('1645961635.15'), Decimal('1537909733.01'), Decimal('1567518195.91'), Decimal('3486505078.00'), Decimal('3490813541.87'), Decimal('3587866265.54'), Decimal('5039930096.53'), Decimal('5421159424.03'))
('Police sha', 926078, 'Union', 'Fairfield County', 'SC', 'United States', 'GREAT EASTERN,LATVIAN', 1998, Decimal('1850379412.66'), Decimal('1560219472.51'), Decimal('1775386576.33'), Decimal('1727055878.32'), Decimal('1812883762.14'), Decimal('1717438772.68'), Decimal('1792594957.26'), Decimal('4003377545.30'), Decimal('3888930629.79'), Decimal('4048562772.27'), Decimal('5889729763.46'), Decimal('6070416997.29'), 1998.0816007506928, 1684.7603252749768, 1917.1026374992173, 1864.9140551011901, 1957.592948045413, 1854.529286604368, 1935.68463699602, 4322.937749628001, 4199.35537804591, 4371.729781152343, 6359.863600539047, 6554.973768181514, Decimal('1592201311.82'), Decimal('1359229229.70'), Decimal('1565670710.58'), Decimal('1505888667.80'), Decimal('1559351521.52'), Decimal('1487405541.94'), Decimal('1586780386.71'), Decimal('3436367316.49'), Decimal('3382158760.40'), Decimal('3455704967.93'), Decimal('5143125316.26'), Decimal('5268109347.49'))
