('F', 'D', '2 yr Degree', 10, 500, 10, 'Good', 10)
('F', 'D', '2 yr Degree', 9, 500, 9, 'High Risk', 9)
('F', 'D', '2 yr Degree', 6, 500, 6, 'Low Risk', 6)
('F', 'D', '2 yr Degree', 9, 500, 9, 'Unknown', 9)
('F', 'D', '2 yr Degree', 8, 1000, 8, 'Good', 8)
('F', 'D', '2 yr Degree', 12, 1000, 12, 'High Risk', 12)
('F', 'D', '2 yr Degree', 6, 1000, 6, 'Low Risk', 6)
('F', 'D', '2 yr Degree', 6, 1000, 6, 'Unknown', 6)
('F', 'D', '2 yr Degree', 17, 1500, 17, 'Good', 17)
('F', 'D', '2 yr Degree', 10, 1500, 10, 'High Risk', 10)
('F', 'D', '2 yr Degree', 6, 1500, 6, 'Low Risk', 6)
('F', 'D', '2 yr Degree', 12, 1500, 12, 'Unknown', 12)
('F', 'D', '2 yr Degree', 8, 2000, 8, 'Good', 8)
('F', 'D', '2 yr Degree', 8, 2000, 8, 'High Risk', 8)
('F', 'D', '2 yr Degree', 11, 2000, 11, 'Low Risk', 11)
('F', 'D', '2 yr Degree', 9, 2000, 9, 'Unknown', 9)
('F', 'D', '2 yr Degree', 13, 2500, 13, 'Good', 13)
('F', 'D', '2 yr Degree', 13, 2500, 13, 'High Risk', 13)
('F', 'D', '2 yr Degree', 12, 2500, 12, 'Low Risk', 12)
('F', 'D', '2 yr Degree', 14, 2500, 14, 'Unknown', 14)
('F', 'D', '2 yr Degree', 10, 3000, 10, 'Good', 10)
('F', 'D', '2 yr Degree', 10, 3000, 10, 'High Risk', 10)
('F', 'D', '2 yr Degree', 4, 3000, 4, 'Low Risk', 4)
('F', 'D', '2 yr Degree', 10, 3000, 10, 'Unknown', 10)
('F', 'D', '2 yr Degree', 15, 3500, 15, 'Good', 15)
('F', 'D', '2 yr Degree', 8, 3500, 8, 'High Risk', 8)
('F', 'D', '2 yr Degree', 13, 3500, 13, 'Low Risk', 13)
('F', 'D', '2 yr Degree', 8, 3500, 8, 'Unknown', 8)
('F', 'D', '2 yr Degree', 11, 4000, 11, 'Good', 11)
('F', 'D', '2 yr Degree', 7, 4000, 7, 'High Risk', 7)
('F', 'D', '2 yr Degree', 12, 4000, 12, 'Low Risk', 12)
('F', 'D', '2 yr Degree', 10, 4000, 10, 'Unknown', 10)
('F', 'D', '2 yr Degree', 14, 4500, 14, 'Good', 14)
('F', 'D', '2 yr Degree', 14, 4500, 14, 'High Risk', 14)
('F', 'D', '2 yr Degree', 11, 4500, 11, 'Low Risk', 11)
('F', 'D', '2 yr Degree', 9, 4500, 9, 'Unknown', 9)
('F', 'D', '2 yr Degree', 16, 5000, 16, 'Good', 16)
('F', 'D', '2 yr Degree', 14, 5000, 14, 'High Risk', 14)
('F', 'D', '2 yr Degree', 16, 5000, 16, 'Low Risk', 16)
('F', 'D', '2 yr Degree', 11, 5000, 11, 'Unknown', 11)
('F', 'D', '2 yr Degree', 13, 5500, 13, 'Good', 13)
('F', 'D', '2 yr Degree', 11, 5500, 11, 'High Risk', 11)
('F', 'D', '2 yr Degree', 14, 5500, 14, 'Low Risk', 14)
('F', 'D', '2 yr Degree', 8, 5500, 8, 'Unknown', 8)
('F', 'D', '2 yr Degree', 6, 6000, 6, 'Good', 6)
('F', 'D', '2 yr Degree', 8, 6000, 8, 'High Risk', 8)
('F', 'D', '2 yr Degree', 17, 6000, 17, 'Low Risk', 17)
('F', 'D', '2 yr Degree', 15, 6000, 15, 'Unknown', 15)
('F', 'D', '2 yr Degree', 9, 6500, 9, 'Good', 9)
('F', 'D', '2 yr Degree', 9, 6500, 9, 'High Risk', 9)
('F', 'D', '2 yr Degree', 14, 6500, 14, 'Low Risk', 14)
('F', 'D', '2 yr Degree', 11, 6500, 11, 'Unknown', 11)
('F', 'D', '2 yr Degree', 7, 7000, 7, 'Good', 7)
('F', 'D', '2 yr Degree', 7, 7000, 7, 'High Risk', 7)
('F', 'D', '2 yr Degree', 17, 7000, 17, 'Low Risk', 17)
('F', 'D', '2 yr Degree', 15, 7000, 15, 'Unknown', 15)
('F', 'D', '2 yr Degree', 8, 7500, 8, 'Good', 8)
('F', 'D', '2 yr Degree', 11, 7500, 11, 'High Risk', 11)
('F', 'D', '2 yr Degree', 8, 7500, 8, 'Low Risk', 8)
('F', 'D', '2 yr Degree', 7, 7500, 7, 'Unknown', 7)
('F', 'D', '2 yr Degree', 7, 8000, 7, 'Good', 7)
('F', 'D', '2 yr Degree', 13, 8000, 13, 'High Risk', 13)
('F', 'D', '2 yr Degree', 10, 8000, 10, 'Low Risk', 10)
('F', 'D', '2 yr Degree', 12, 8000, 12, 'Unknown', 12)
('F', 'D', '2 yr Degree', 21, 8500, 21, 'Good', 21)
('F', 'D', '2 yr Degree', 11, 8500, 11, 'High Risk', 11)
('F', 'D', '2 yr Degree', 12, 8500, 12, 'Low Risk', 12)
('F', 'D', '2 yr Degree', 7, 8500, 7, 'Unknown', 7)
('F', 'D', '2 yr Degree', 22, 9000, 22, 'Good', 22)
('F', 'D', '2 yr Degree', 20, 9000, 20, 'High Risk', 20)
('F', 'D', '2 yr Degree', 7, 9000, 7, 'Low Risk', 7)
('F', 'D', '2 yr Degree', 19, 9000, 19, 'Unknown', 19)
('F', 'D', '2 yr Degree', 3, 9500, 3, 'Good', 3)
('F', 'D', '2 yr Degree', 18, 9500, 18, 'High Risk', 18)
('F', 'D', '2 yr Degree', 11, 9500, 11, 'Low Risk', 11)
('F', 'D', '2 yr Degree', 13, 9500, 13, 'Unknown', 13)
('F', 'D', '2 yr Degree', 6, 10000, 6, 'Good', 6)
('F', 'D', '2 yr Degree', 18, 10000, 18, 'High Risk', 18)
('F', 'D', '2 yr Degree', 6, 10000, 6, 'Low Risk', 6)
('F', 'D', '2 yr Degree', 11, 10000, 11, 'Unknown', 11)
('F', 'D', '4 yr Degree', 7, 500, 7, 'Good', 7)
('F', 'D', '4 yr Degree', 7, 500, 7, 'High Risk', 7)
('F', 'D', '4 yr Degree', 12, 500, 12, 'Low Risk', 12)
('F', 'D', '4 yr Degree', 8, 500, 8, 'Unknown', 8)
('F', 'D', '4 yr Degree', 14, 1000, 14, 'Good', 14)
('F', 'D', '4 yr Degree', 10, 1000, 10, 'High Risk', 10)
('F', 'D', '4 yr Degree', 9, 1000, 9, 'Low Risk', 9)
('F', 'D', '4 yr Degree', 9, 1000, 9, 'Unknown', 9)
('F', 'D', '4 yr Degree', 10, 1500, 10, 'Good', 10)
('F', 'D', '4 yr Degree', 13, 1500, 13, 'High Risk', 13)
('F', 'D', '4 yr Degree', 10, 1500, 10, 'Low Risk', 10)
('F', 'D', '4 yr Degree', 11, 1500, 11, 'Unknown', 11)
('F', 'D', '4 yr Degree', 13, 2000, 13, 'Good', 13)
('F', 'D', '4 yr Degree', 12, 2000, 12, 'High Risk', 12)
('F', 'D', '4 yr Degree', 13, 2000, 13, 'Low Risk', 13)
('F', 'D', '4 yr Degree', 14, 2000, 14, 'Unknown', 14)
('F', 'D', '4 yr Degree', 17, 2500, 17, 'Good', 17)
('F', 'D', '4 yr Degree', 8, 2500, 8, 'High Risk', 8)
