('catalog', 'cs_warehouse_sk', 1998, 1, 'Books', 972, Decimal('1207859.29'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Children', 1019, Decimal('1240054.42'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Electronics', 1020, Decimal('1223115.17'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Home', 1057, Decimal('1434215.91'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Jewelry', 988, Decimal('1453879.57'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Men', 983, Decimal('1183149.55'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Music', 1021, Decimal('1421097.76'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Shoes', 1039, Decimal('1327817.09'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Sports', 1027, Decimal('1305803.78'))
('catalog', 'cs_warehouse_sk', 1998, 1, 'Women', 1012, Decimal('1274521.15'))
('catalog', 'cs_warehouse_sk', 1998, 1, None, 17, Decimal('22808.04'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Books', 1019, Decimal('1357717.52'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Children', 1017, Decimal('1236570.63'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Electronics', 1022, Decimal('1436225.43'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Home', 1044, Decimal('1414654.52'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Jewelry', 992, Decimal('1294718.99'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Men', 1034, Decimal('1293140.21'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Music', 1091, Decimal('1235226.79'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Shoes', 1031, Decimal('1342242.15'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Sports', 1064, Decimal('1380836.69'))
('catalog', 'cs_warehouse_sk', 1998, 2, 'Women', 1015, Decimal('1453511.38'))
('catalog', 'cs_warehouse_sk', 1998, 2, None, 37, Decimal('53148.51'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Books', 1878, Decimal('2435730.79'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Children', 1848, Decimal('2425517.90'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Electronics', 1927, Decimal('2462417.55'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Home', 1902, Decimal('2426538.55'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Jewelry', 1841, Decimal('2272259.14'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Men', 1883, Decimal('2363239.61'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Music', 2005, Decimal('2526866.07'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Shoes', 1904, Decimal('2456479.11'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Sports', 2022, Decimal('2427309.56'))
('catalog', 'cs_warehouse_sk', 1998, 3, 'Women', 1891, Decimal('2551467.48'))
('catalog', 'cs_warehouse_sk', 1998, 3, None, 46, Decimal('65406.71'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Books', 3045, Decimal('3725048.48'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Children', 3220, Decimal('4074784.10'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Electronics', 3192, Decimal('4076978.41'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Home', 3183, Decimal('4214278.18'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Jewelry', 3088, Decimal('4037868.46'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Men', 3144, Decimal('3873478.51'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Music', 3160, Decimal('4047591.59'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Shoes', 3084, Decimal('3930974.39'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Sports', 3116, Decimal('3931761.88'))
('catalog', 'cs_warehouse_sk', 1998, 4, 'Women', 3039, Decimal('3756274.74'))
('catalog', 'cs_warehouse_sk', 1998, 4, None, 63, Decimal('63695.10'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Books', 1033, Decimal('1464311.28'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Children', 1034, Decimal('1383996.35'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Electronics', 997, Decimal('1258806.25'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Home', 1019, Decimal('1304655.50'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Jewelry', 1053, Decimal('1399543.93'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Men', 1003, Decimal('1202054.23'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Music', 1055, Decimal('1288023.71'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Shoes', 1035, Decimal('1451359.10'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Sports', 1037, Decimal('1467273.36'))
('catalog', 'cs_warehouse_sk', 1999, 1, 'Women', 1073, Decimal('1355011.77'))
('catalog', 'cs_warehouse_sk', 1999, 1, None, 20, Decimal('20116.45'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Books', 1007, Decimal('1329694.74'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Children', 991, Decimal('1185299.19'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Electronics', 1012, Decimal('1229778.93'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Home', 1063, Decimal('1355114.58'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Jewelry', 1017, Decimal('1245781.85'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Men', 1012, Decimal('1264930.66'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Music', 1091, Decimal('1331103.31'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Shoes', 1015, Decimal('1373916.87'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Sports', 998, Decimal('1277800.96'))
('catalog', 'cs_warehouse_sk', 1999, 2, 'Women', 1065, Decimal('1374142.82'))
('catalog', 'cs_warehouse_sk', 1999, 2, None, 25, Decimal('29517.97'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Books', 1989, Decimal('2611406.70'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Children', 1932, Decimal('2299666.24'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Electronics', 1948, Decimal('2683477.14'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Home', 1898, Decimal('2354829.92'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Jewelry', 1834, Decimal('2473777.37'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Men', 1970, Decimal('2555797.95'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Music', 1937, Decimal('2560000.17'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Shoes', 1961, Decimal('2599197.64'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Sports', 2059, Decimal('2635016.19'))
('catalog', 'cs_warehouse_sk', 1999, 3, 'Women', 1941, Decimal('2413427.49'))
('catalog', 'cs_warehouse_sk', 1999, 3, None, 41, Decimal('28822.52'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Books', 3125, Decimal('4138239.26'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Children', 3157, Decimal('3862287.54'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Electronics', 3151, Decimal('4352221.42'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Home', 3139, Decimal('3881315.68'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Jewelry', 3092, Decimal('4098116.25'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Men', 3042, Decimal('3753307.93'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Music', 3224, Decimal('4309175.03'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Shoes', 3107, Decimal('4016586.89'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Sports', 3202, Decimal('4088194.18'))
('catalog', 'cs_warehouse_sk', 1999, 4, 'Women', 3117, Decimal('4330054.61'))
('catalog', 'cs_warehouse_sk', 1999, 4, None, 77, Decimal('92657.92'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Books', 1046, Decimal('1274740.92'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Children', 1089, Decimal('1348971.33'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Electronics', 1039, Decimal('1334125.53'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Home', 996, Decimal('1226101.15'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Jewelry', 1012, Decimal('1307202.12'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Men', 1056, Decimal('1426269.64'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Music', 1027, Decimal('1178197.66'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Shoes', 1077, Decimal('1431143.96'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Sports', 1088, Decimal('1277035.52'))
('catalog', 'cs_warehouse_sk', 2000, 1, 'Women', 1052, Decimal('1363261.96'))
('catalog', 'cs_warehouse_sk', 2000, 1, None, 26, Decimal('15671.30'))
('catalog', 'cs_warehouse_sk', 2000, 2, 'Books', 1034, Decimal('1304081.38'))
