('Certainly fede', 'EXPRESS', 'California', 8375, 8501, 8637, 0, 0)
('Certainly fede', 'EXPRESS', 'California_1', 8310, 8465, 8582, 0, 0)
('Certainly fede', 'EXPRESS', 'Hawaii/Alaska', 8199, 8538, 8355, 0, 0)
('Certainly fede', 'EXPRESS', 'Hawaii/Alaska_1', 8352, 8346, 8596, 0, 0)
('Certainly fede', 'EXPRESS', 'Mid Atlantic', 8182, 8472, 8499, 0, 0)
('Certainly fede', 'EXPRESS', 'Mid Atlantic_1', 8328, 8665, 8496, 0, 0)
('Certainly fede', 'EXPRESS', 'Mid Atlantic_2', 8247, 8539, 8480, 0, 0)
('Certainly fede', 'EXPRESS', 'NY Metro', 8224, 8652, 8451, 0, 0)
('Certainly fede', 'EXPRESS', 'NY Metro_1', 8293, 8605, 8621, 0, 0)
('Certainly fede', 'EXPRESS', 'NY Metro_2', 8172, 8625, 8564, 0, 0)
('Certainly fede', 'EXPRESS', 'North Midwest', 8268, 8553, 8425, 0, 0)
('Certainly fede', 'EXPRESS', 'North Midwest_1', 8140, 8464, 8443, 0, 0)
('Certainly fede', 'EXPRESS', 'North Midwest_2', 8228, 8541, 8509, 0, 0)
('Certainly fede', 'EXPRESS', 'Pacific Northwest', 8277, 8469, 8544, 0, 0)
('Certainly fede', 'EXPRESS', 'Pacific Northwest_1', 8158, 8379, 8525, 0, 0)
('Certainly fede', 'LIBRARY', 'California', 6100, 6303, 6399, 0, 0)
('Certainly fede', 'LIBRARY', 'California_1', 6144, 6194, 6463, 0, 0)
('Certainly fede', 'LIBRARY', 'Hawaii/Alaska', 6072, 6380, 6261, 0, 0)
('Certainly fede', 'LIBRARY', 'Hawaii/Alaska_1', 6284, 6431, 6418, 0, 0)
('Certainly fede', 'LIBRARY', 'Mid Atlantic', 6266, 6349, 6238, 0, 0)
('Certainly fede', 'LIBRARY', 'Mid Atlantic_1', 6205, 6464, 6508, 0, 0)
('Certainly fede', 'LIBRARY', 'Mid Atlantic_2', 6260, 6415, 6418, 0, 0)
('Certainly fede', 'LIBRARY', 'NY Metro', 6176, 6445, 6467, 0, 0)
('Certainly fede', 'LIBRARY', 'NY Metro_1', 6129, 6516, 6455, 0, 0)
('Certainly fede', 'LIBRARY', 'NY Metro_2', 6167, 6215, 6434, 0, 0)
('Certainly fede', 'LIBRARY', 'North Midwest', 6064, 6323, 6320, 0, 0)
('Certainly fede', 'LIBRARY', 'North Midwest_1', 6070, 6430, 6252, 0, 0)
('Certainly fede', 'LIBRARY', 'North Midwest_2', 6203, 6319, 6556, 0, 0)
('Certainly fede', 'LIBRARY', 'Pacific Northwest', 6210, 6255, 6391, 0, 0)
('Certainly fede', 'LIBRARY', 'Pacific Northwest_1', 5944, 6401, 6423, 0, 0)
('Certainly fede', 'NEXT DAY', 'California', 8343, 8421, 8515, 0, 0)
('Certainly fede', 'NEXT DAY', 'California_1', 8059, 8549, 8340, 0, 0)
('Certainly fede', 'NEXT DAY', 'Hawaii/Alaska', 8156, 8765, 8474, 0, 0)
('Certainly fede', 'NEXT DAY', 'Hawaii/Alaska_1', 8119, 8570, 8540, 0, 0)
('Certainly fede', 'NEXT DAY', 'Mid Atlantic', 8362, 8422, 8277, 0, 0)
('Certainly fede', 'NEXT DAY', 'Mid Atlantic_1', 8215, 8547, 8519, 0, 0)
('Certainly fede', 'NEXT DAY', 'Mid Atlantic_2', 8196, 8408, 8519, 0, 0)
('Certainly fede', 'NEXT DAY', 'NY Metro', 7988, 8637, 8480, 0, 0)
('Certainly fede', 'NEXT DAY', 'NY Metro_1', 8017, 8518, 8478, 0, 0)
('Certainly fede', 'NEXT DAY', 'NY Metro_2', 8285, 8488, 8341, 0, 0)
('Certainly fede', 'NEXT DAY', 'North Midwest', 8155, 8590, 8472, 0, 0)
('Certainly fede', 'NEXT DAY', 'North Midwest_1', 8142, 8536, 8339, 0, 0)
